RA,ra_num,ano_base,Fase_num,categoria_risco,score_risco,IAN,INDE_final,IPS,IEG,queda_recente,delta_INDE
RA-759,759,2022,0,BAIXO,0.3837434094903339,5.0,7.563,7.5,8.6,0,
RA-814,814,2022,0,BAIXO,0.38189806678383126,5.0,7.592,6.9,9.0,0,
RA-836,836,2022,0,BAIXO,0.38187170474516696,5.0,7.665,7.5,8.3,0,
RA-696,696,2022,0,BAIXO,0.38031634446397183,5.0,7.441,7.5,9.0,0,
RA-680,680,2022,0,BAIXO,0.3792091388400703,5.0,7.518,7.5,8.8,0,
RA-729,729,2022,0,BAIXO,0.3787521968365553,10.0,8.155,8.1,8.7,0,
RA-790,790,2022,0,BAIXO,0.3763093145869947,5.0,7.504,7.5,8.9,0,
RA-831,831,2022,0,BAIXO,0.37464850615114237,5.0,7.41,7.5,9.2,0,
RA-785,785,2022,0,BAIXO,0.37277680140597536,5.0,7.642,7.5,8.6,0,
RA-853,853,2022,0,BAIXO,0.3722231985940246,10.0,8.616,7.5,9.6,0,
RA-767,767,2022,0,BAIXO,0.37135325131810193,5.0,7.511,7.5,9.0,0,
RA-700,700,2022,0,BAIXO,0.35601054481546573,5.0,7.738,7.5,8.7,0,
RA-737,737,2022,0,BAIXO,0.35268014059753955,5.0,8.058,5.6,9.2,0,
RA-682,682,2022,0,BAIXO,0.35134446397188046,5.0,7.625,7.5,9.1,0,
RA-732,732,2022,0,BAIXO,0.3499297012302285,5.0,7.347,8.8,7.9,0,
RA-820,820,2022,0,BAIXO,0.3487346221441125,5.0,7.417,6.9,10.0,0,
RA-763,763,2022,0,BAIXO,0.34791739894551843,5.0,7.402,7.5,9.7,0,
RA-694,694,2022,0,BAIXO,0.34521968365553596,10.0,8.378,8.1,9.0,0,
RA-693,693,2022,0,BAIXO,0.3450351493848857,10.0,7.944,8.1,9.8,0,
RA-690,690,2022,0,BAIXO,0.34188049209138843,5.0,7.541,7.5,9.5,0,
RA-781,781,2022,0,BAIXO,0.34024604569420036,5.0,7.786,7.5,8.9,0,
RA-697,697,2022,0,BAIXO,0.3355536028119508,5.0,7.675,7.5,9.3,0,
RA-802,802,2022,0,BAIXO,0.3303866432337434,5.0,7.831,7.5,9.0,0,
RA-701,701,2022,0,BAIXO,0.324323374340949,5.0,7.755,7.5,9.3,0,
RA-672,672,2022,0,BAIXO,0.32051845342706503,5.0,7.48,8.1,8.5,0,
RA-799,799,2022,0,BAIXO,0.3183391915641476,5.0,7.676,7.5,9.6,0,
RA-673,673,2022,0,BAIXO,0.31698594024604565,10.0,8.65,8.1,9.2,0,
RA-758,758,2022,0,BAIXO,0.3158611599297012,5.0,7.911,7.5,9.1,0,
RA-671,671,2022,0,BAIXO,0.3149824253075571,5.0,7.617,8.1,8.2,0,
RA-691,691,2022,0,BAIXO,0.31445518453427057,10.0,8.68,8.1,9.2,0,
RA-833,833,2022,0,BAIXO,0.3090333919156415,5.0,7.791,7.5,9.5,0,
RA-748,748,2022,0,BAIXO,0.30159929701230226,5.0,8.084,7.5,9.0,0,
RA-768,768,2022,0,BAIXO,0.3002284710017575,5.0,7.646,7.5,10.0,0,
RA-688,688,2022,0,BAIXO,0.2998330404217926,5.0,7.771,7.5,9.7,0,
RA-857,857,2022,0,BAIXO,0.2984885764499121,5.0,8.154,7.5,8.9,0,
RA-834,834,2022,0,BAIXO,0.2961687170474517,5.0,8.136,7.5,9.0,0,
RA-692,692,2022,0,BAIXO,0.2930755711775044,5.0,7.569,8.1,8.9,0,
RA-752,752,2022,0,BAIXO,0.2899472759226714,5.0,8.197,7.5,9.0,0,
RA-686,686,2022,0,BAIXO,0.28553602811950785,5.0,7.729,8.1,8.6,0,
RA-760,760,2022,0,BAIXO,0.2830140597539543,5.0,8.172,7.5,9.2,0,
RA-761,761,2022,0,BAIXO,0.2829613356766257,5.0,8.06,7.5,9.4,0,
RA-832,832,2022,0,BAIXO,0.2820650263620387,5.0,8.179,7.5,9.2,0,
RA-678,678,2022,0,BAIXO,0.2764499121265378,5.0,8.0,6.9,10.0,0,
RA-762,762,2022,0,BAIXO,0.2727855887521969,2.5,7.28,7.5,9.7,0,
RA-687,687,2022,0,BAIXO,0.2716695957820738,5.0,7.703,8.1,9.0,0,
RA-730,730,2022,0,BAIXO,0.2697627416520211,5.0,7.902,8.8,8.2,0,
RA-757,757,2022,0,BAIXO,0.26796133567662567,5.0,8.26,7.5,9.3,0,
RA-766,766,2022,0,BAIXO,0.26527240773286465,5.0,8.185,7.5,9.5,0,
RA-676,676,2022,0,BAIXO,0.26286467486818976,5.0,7.911,8.1,8.6,0,
RA-816,816,2022,0,BAIXO,0.24660808435852372,5.0,8.513,7.5,9.3,0,
RA-855,855,2022,0,BAIXO,0.23477152899824255,5.0,8.453,7.5,9.6,0,
RA-784,784,2022,0,BAIXO,0.22188049209138838,5.0,8.34,7.5,10.0,0,
RA-821,821,2022,0,MEDIO,0.5496924428822495,5.0,6.342,7.5,7.0,0,
RA-815,815,2022,0,MEDIO,0.5487346221441125,5.0,6.81,5.6,7.9,0,
RA-782,782,2022,0,MEDIO,0.5468980667838312,10.0,7.485,7.5,8.4,0,
RA-794,794,2022,0,MEDIO,0.5460808435852372,10.0,7.335,7.5,8.9,0,
RA-704,704,2022,0,MEDIO,0.5444288224956063,5.0,6.741,5.0,8.6,0,
RA-733,733,2022,0,MEDIO,0.5411687170474516,5.0,6.684,5.6,8.5,0,
RA-705,705,2022,0,MEDIO,0.5404657293497364,5.0,6.634,7.5,6.2,0,
RA-736,736,2022,0,MEDIO,0.5392706502636204,5.0,6.707,5.6,8.5,0,
RA-810,810,2022,0,MEDIO,0.5377592267135325,10.0,7.887,5.0,9.1,0,
RA-801,801,2022,0,MEDIO,0.5341652021089631,5.0,6.644,7.5,6.6,0,
RA-720,720,2022,0,MEDIO,0.5327152899824253,5.0,6.731,7.5,5.9,0,
RA-819,819,2022,0,MEDIO,0.5317926186291739,10.0,7.741,7.5,7.9,0,
RA-787,787,2022,0,MEDIO,0.5292618629173989,10.0,7.205,7.5,9.5,0,
RA-723,723,2022,0,MEDIO,0.5225307557117749,10.0,7.426,8.1,6.6,0,
RA-741,741,2022,0,MEDIO,0.5225043936731107,5.0,6.896,5.6,8.4,0,
RA-817,817,2022,0,MEDIO,0.52207381370826,10.0,7.819,6.3,8.7,0,
RA-789,789,2022,0,MEDIO,0.5120474516695958,10.0,7.405,7.5,9.4,0,
RA-716,716,2022,0,MEDIO,0.5119156414762741,5.0,6.525,7.5,8.1,0,
RA-772,772,2022,0,MEDIO,0.510360281195079,5.0,6.994,7.5,5.4,0,
RA-744,744,2022,0,MEDIO,0.5102724077328646,10.0,7.742,5.6,9.7,0,
RA-840,840,2022,0,MEDIO,0.5047715289982425,10.0,7.875,7.5,8.2,0,
RA-675,675,2022,0,MEDIO,0.5046572934973637,10.0,7.576,8.1,6.6,0,
RA-717,717,2022,0,MEDIO,0.5030843585237259,5.0,6.832,7.5,7.3,0,
RA-742,742,2022,0,MEDIO,0.502829525483304,5.0,7.097,5.0,8.7,0,
RA-771,771,2022,0,MEDIO,0.5018189806678383,10.0,7.873,7.5,8.3,0,
RA-722,722,2022,0,MEDIO,0.49929701230228474,5.0,7.41,4.4,8.1,0,
RA-804,804,2022,0,MEDIO,0.4989543057996485,5.0,6.848,6.3,8.4,0,
RA-721,721,2022,0,MEDIO,0.49683655536028115,10.0,7.973,7.5,8.1,0,
RA-842,842,2022,0,MEDIO,0.49348857644991206,10.0,7.952,7.5,8.3,0,
RA-803,803,2022,0,MEDIO,0.49072056239015815,5.0,6.98,7.5,7.2,0,
RA-793,793,2022,0,MEDIO,0.48948154657293497,5.0,6.894,7.5,7.6,0,
RA-807,807,2022,0,MEDIO,0.4882776801405975,10.0,8.121,6.3,8.7,0,
RA-780,780,2022,0,MEDIO,0.4836818980667838,5.0,6.955,7.5,7.6,0,
RA-718,718,2022,0,MEDIO,0.4822144112478031,10.0,8.093,6.3,8.9,0,
RA-829,829,2022,0,MEDIO,0.47622144112478026,10.0,8.003,7.5,8.6,0,
RA-828,828,2022,0,MEDIO,0.47572056239015814,5.0,7.139,7.5,7.1,0,
RA-710,710,2022,0,MEDIO,0.47462214411247805,5.0,7.285,5.0,8.9,0,
RA-788,788,2022,0,MEDIO,0.4736028119507908,10.0,8.264,5.6,9.3,0,
RA-756,756,2022,0,MEDIO,0.47295254833040423,5.0,6.976,7.5,7.9,0,
RA-745,745,2022,0,MEDIO,0.46819859402460456,5.0,7.382,5.6,8.5,0,
RA-764,764,2022,0,MEDIO,0.46673110720562383,10.0,8.004,7.5,8.8,0,
RA-792,792,2022,0,MEDIO,0.4654657293497364,5.0,7.025,7.5,8.0,0,
RA-860,860,2022,0,MEDIO,0.4650175746924428,10.0,8.136,7.5,8.5,0,
RA-740,740,2022,0,MEDIO,0.464323374340949,5.0,7.218,5.6,9.0,0,
RA-727,727,2022,0,MEDIO,0.462372583479789,10.0,7.736,8.1,7.7,0,
RA-822,822,2022,0,MEDIO,0.46159050966608084,5.0,6.922,7.5,8.4,0,
RA-786,786,2022,0,MEDIO,0.46068541300527244,5.0,7.004,5.6,9.5,0,
RA-825,825,2022,0,MEDIO,0.4546309314586995,5.0,7.25,6.9,8.2,0,
RA-731,731,2022,0,MEDIO,0.45399824253075566,5.0,7.151,6.9,8.5,0,
RA-699,699,2022,0,MEDIO,0.45357644991212653,5.0,6.658,7.5,9.2,0,
RA-798,798,2022,0,MEDIO,0.45315465729349735,5.0,7.049,7.5,8.3,0,
RA-826,826,2022,0,MEDIO,0.4525219683655536,10.0,7.776,7.5,9.6,0,
RA-681,681,2022,0,MEDIO,0.4490421792618629,5.0,7.204,6.9,8.5,0,
RA-698,698,2022,0,MEDIO,0.44876098418277677,5.0,7.44,2.5,9.8,0,
RA-778,778,2022,0,MEDIO,0.44862038664323367,5.0,7.432,7.5,6.7,0,
RA-854,854,2022,0,MEDIO,0.4480667838312829,10.0,8.098,7.5,9.0,0,
RA-770,770,2022,0,MEDIO,0.44717047451669595,10.0,8.143,7.5,8.9,0,
RA-827,827,2022,0,MEDIO,0.44714411247803165,5.0,7.412,7.5,7.0,0,
RA-808,808,2022,0,MEDIO,0.44654657293497363,10.0,8.361,6.3,9.1,0,
RA-679,679,2022,0,MEDIO,0.44340070298769774,5.0,7.172,7.5,8.2,0,
RA-859,859,2022,0,MEDIO,0.43873462214411246,10.0,8.325,7.5,8.7,0,
RA-837,837,2022,0,MEDIO,0.4372056239015817,10.0,8.207,7.5,9.0,0,
RA-848,848,2022,0,MEDIO,0.4367574692442882,5.0,7.488,7.5,7.0,0,
RA-838,838,2022,0,MEDIO,0.4331985940246046,5.0,7.461,7.5,7.4,0,
RA-735,735,2022,0,MEDIO,0.4327416520210896,5.0,7.485,5.6,9.0,0,
RA-753,753,2022,0,MEDIO,0.43014059753954303,10.0,8.481,7.5,8.6,0,
RA-805,805,2022,0,MEDIO,0.42940246045694197,10.0,8.279,7.5,9.0,0,
RA-797,797,2022,0,MEDIO,0.4273198594024604,5.0,7.217,7.5,8.5,0,
RA-708,708,2022,0,MEDIO,0.424261862917399,5.0,7.282,7.5,8.4,0,
RA-765,765,2022,0,MEDIO,0.4224428822495606,5.0,6.902,7.5,9.3,0,
RA-749,749,2022,0,MEDIO,0.4221792618629174,5.0,7.484,7.5,7.7,0,
RA-830,830,2022,0,MEDIO,0.42207381370826014,5.0,7.234,7.5,8.6,0,
RA-706,706,2022,0,MEDIO,0.42046572934973636,5.0,7.659,7.5,6.7,0,
RA-845,845,2022,0,MEDIO,0.4201230228471001,10.0,8.491,7.5,8.8,0,
RA-849,849,2022,0,MEDIO,0.419622144112478,5.0,7.369,7.5,8.3,0,
RA-841,841,2022,0,MEDIO,0.4188312829525483,5.0,7.3,7.5,8.5,0,
RA-755,755,2022,0,MEDIO,0.4171968365553602,10.0,8.566,6.9,9.2,0,
RA-769,769,2022,0,MEDIO,0.4144288224956063,5.0,7.598,7.5,7.5,0,
RA-489,489,2022,1,ALTO,0.7168541300527239,10.0,5.853,7.5,7.2,0,
RA-564,564,2022,1,ALTO,0.6896836555360281,5.0,4.972,5.0,3.8,0,
RA-483,483,2022,1,ALTO,0.6824340949033392,5.0,5.263,5.0,4.8,0,
RA-560,560,2022,1,ALTO,0.6616871704745166,5.0,4.949,5.0,7.2,0,
RA-635,635,2022,1,ALTO,0.6288840070298769,5.0,5.313,6.9,4.9,0,
RA-668,668,2022,1,ALTO,0.6242970123022846,5.0,4.365,7.5,3.3,0,
RA-485,485,2022,1,ALTO,0.6207908611599297,5.0,4.742,7.5,4.0,0,
RA-622,622,2022,1,ALTO,0.6186818980667839,5.0,4.934,7.5,3.8,0,
RA-554,554,2022,1,ALTO,0.6147539543057996,5.0,5.588,6.9,6.0,0,
RA-565,565,2022,1,ALTO,0.6141212653778558,5.0,5.233,7.5,4.1,0,
RA-555,555,2022,1,ALTO,0.6131810193321616,5.0,5.949,5.0,8.1,0,
RA-595,595,2022,1,ALTO,0.6080052724077328,5.0,5.18,7.5,5.5,0,
RA-600,600,2022,1,ALTO,0.6009402460456942,10.0,7.011,7.5,8.4,0,
RA-538,538,2022,1,ALTO,0.6009314586994727,5.0,6.309,5.6,7.5,0,
RA-528,528,2022,1,ALTO,0.597671353251318,5.0,5.335,7.5,6.2,0,
RA-481,481,2022,1,ALTO,0.593585237258348,10.0,7.21,7.5,8.0,0,
RA-667,667,2022,1,ALTO,0.5898681898066784,5.0,5.844,7.5,5.6,0,
RA-494,494,2022,1,ALTO,0.5844727592267135,5.0,6.407,5.0,8.3,0,
RA-575,575,2022,1,ALTO,0.5833040421792618,5.0,5.889,7.5,6.1,0,
RA-579,579,2022,1,ALTO,0.5773989455184534,5.0,6.067,7.5,5.8,0,
RA-570,570,2022,1,ALTO,0.5768980667838313,5.0,5.722,7.5,7.0,0,
RA-656,656,2022,1,ALTO,0.5758347978910369,5.0,6.652,5.6,7.5,0,
RA-574,574,2022,1,ALTO,0.5736906854130053,5.0,6.86,5.0,7.2,0,
RA-553,553,2022,1,ALTO,0.5689103690685413,5.0,6.39,6.9,6.9,0,
RA-567,567,2022,1,ALTO,0.567091388400703,5.0,6.281,7.5,6.0,0,
RA-546,546,2022,1,ALTO,0.5659929701230229,5.0,6.77,5.0,7.9,0,
RA-572,572,2022,1,ALTO,0.5616871704745167,10.0,7.48,7.5,8.0,0,
RA-626,626,2022,1,ALTO,0.5616080843585237,5.0,5.818,7.5,7.6,0,
RA-620,620,2022,1,ALTO,0.5561511423550087,5.0,6.018,7.5,7.5,0,
RA-638,638,2022,1,ALTO,0.5543585237258348,10.0,7.059,7.5,9.3,0,
RA-529,529,2022,1,ALTO,0.553286467486819,5.0,6.51,5.0,8.9,0,
RA-654,654,2022,1,BAIXO,0.41363796133567665,5.0,7.308,7.5,8.6,0,
RA-548,548,2022,1,BAIXO,0.4123989455184534,5.0,7.292,6.9,9.1,0,
RA-615,615,2022,1,BAIXO,0.4107117750439367,10.0,8.086,7.5,9.7,0,
RA-652,652,2022,1,BAIXO,0.4093409490333919,10.0,8.151,7.5,9.6,0,
RA-588,588,2022,1,BAIXO,0.40875219683655534,10.0,8.622,5.6,10.0,0,
RA-664,664,2022,1,BAIXO,0.40868189806678384,5.0,7.277,7.5,8.8,0,
RA-610,610,2022,1,BAIXO,0.4069156414762741,10.0,8.18,7.5,9.6,0,
RA-493,493,2022,1,BAIXO,0.4057029876977153,10.0,8.306,7.5,9.4,0,
RA-605,605,2022,1,BAIXO,0.4042530755711775,5.0,7.276,6.9,9.3,0,
RA-527,527,2022,1,BAIXO,0.4010896309314587,10.0,8.025,7.5,10.0,0,
RA-505,505,2022,1,BAIXO,0.4008787346221441,5.0,7.591,7.5,8.0,0,
RA-590,590,2022,1,BAIXO,0.398664323374341,5.0,7.435,7.5,8.6,0,
RA-490,490,2022,1,BAIXO,0.39668717047451674,5.0,7.576,7.5,8.2,0,
RA-488,488,2022,1,BAIXO,0.3922847100175747,5.0,7.413,7.5,8.8,0,
RA-629,629,2022,1,BAIXO,0.3919156414762741,10.0,8.11,7.5,10.0,0,
RA-661,661,2022,1,BAIXO,0.3909402460456942,5.0,7.593,7.5,8.3,0,
RA-542,542,2022,1,BAIXO,0.3907117750439367,5.0,7.221,6.3,9.8,0,
RA-611,611,2022,1,BAIXO,0.3904657293497364,5.0,7.756,7.5,7.6,0,
RA-502,502,2022,1,BAIXO,0.38983304042179256,10.0,8.287,7.5,9.7,0,
RA-670,670,2022,1,BAIXO,0.38759226713532513,5.0,7.451,7.5,8.8,0,
RA-619,619,2022,1,BAIXO,0.38738137082601054,5.0,7.693,7.5,8.0,0,
RA-624,624,2022,1,BAIXO,0.38674868189806677,5.0,7.425,7.5,8.9,0,
RA-659,659,2022,1,BAIXO,0.3815289982425307,5.0,7.783,7.5,7.8,0,
RA-480,480,2022,1,BAIXO,0.38100175746924425,5.0,7.502,7.5,8.8,0,
RA-633,633,2022,1,BAIXO,0.38021089630931454,5.0,7.476,7.5,8.9,0,
RA-510,510,2022,1,BAIXO,0.3779964850615114,5.0,7.336,7.5,9.3,0,
RA-597,597,2022,1,BAIXO,0.37620386643233744,10.0,8.265,7.5,10.0,0,
RA-512,512,2022,1,BAIXO,0.3752548330404218,5.0,7.365,7.5,9.3,0,
RA-547,547,2022,1,BAIXO,0.37494727592267135,5.0,7.745,5.0,9.7,0,
RA-608,608,2022,1,BAIXO,0.3732249560632689,5.0,7.216,7.5,9.6,0,
RA-623,623,2022,1,BAIXO,0.370298769771529,5.0,7.524,7.5,9.0,0,
RA-658,658,2022,1,BAIXO,0.3692970123022847,5.0,7.407,7.5,9.3,0,
RA-644,644,2022,1,BAIXO,0.36913884007029873,5.0,7.83,7.5,8.0,0,
RA-566,566,2022,1,BAIXO,0.3690597539543058,5.0,7.729,7.5,8.4,0,
RA-594,594,2022,1,BAIXO,0.36594903339191565,5.0,7.392,7.5,9.4,0,
RA-509,509,2022,1,BAIXO,0.3652108963093146,5.0,7.808,7.5,8.2,0,
RA-625,625,2022,1,BAIXO,0.3643673110720562,5.0,7.483,7.5,9.2,0,
RA-511,511,2022,1,BAIXO,0.36391915641476275,5.0,7.094,7.5,10.0,0,
RA-492,492,2022,1,BAIXO,0.35933216168717047,5.0,7.678,7.5,8.8,0,
RA-583,583,2022,1,BAIXO,0.3571968365553603,5.0,7.456,7.5,9.4,0,
RA-576,576,2022,1,BAIXO,0.35714411247803163,5.0,7.59,7.5,9.1,0,
RA-539,539,2022,1,BAIXO,0.3565905096660808,5.0,7.665,6.9,9.3,0,
RA-498,498,2022,1,BAIXO,0.3564850615114235,5.0,7.7,7.5,8.8,0,
RA-591,591,2022,1,BAIXO,0.3560105448154657,5.0,7.507,7.5,9.3,0,
RA-516,516,2022,1,BAIXO,0.35429701230228466,10.0,8.903,7.5,9.7,0,
RA-612,612,2022,1,BAIXO,0.35155536028119505,5.0,7.594,7.5,9.2,0,
RA-559,559,2022,1,BAIXO,0.34586115992970123,5.0,7.634,7.5,9.2,0,
RA-568,568,2022,1,BAIXO,0.3450439367311072,2.5,7.306,6.9,8.6,0,
RA-491,491,2022,1,BAIXO,0.33969244288224953,5.0,7.461,7.5,9.7,0,
RA-669,669,2022,1,BAIXO,0.3378998242530756,5.0,7.475,7.5,9.7,0,
RA-586,586,2022,1,BAIXO,0.33786467486818983,5.0,7.988,5.6,9.6,0,
RA-580,580,2022,1,BAIXO,0.3371616871704745,5.0,7.525,7.5,9.6,0,
RA-634,634,2022,1,BAIXO,0.3371616871704745,5.0,7.619,7.5,9.4,0,
RA-523,523,2022,1,BAIXO,0.3359226713532513,5.0,7.591,7.5,9.5,0,
RA-596,596,2022,1,BAIXO,0.3355008787346221,10.0,8.971,7.5,10.0,0,
RA-517,517,2022,1,BAIXO,0.33444639718804925,5.0,7.604,7.5,9.5,0,
RA-518,518,2022,1,BAIXO,0.3318892794376098,5.0,7.661,7.5,9.4,0,
RA-495,495,2022,1,BAIXO,0.3308611599297012,5.0,7.857,7.5,8.9,0,
RA-562,562,2022,1,BAIXO,0.32727592267135325,5.0,7.855,7.5,9.0,0,
RA-561,561,2022,1,BAIXO,0.32706502636203866,5.0,7.856,7.5,9.0,0,
RA-655,655,2022,1,BAIXO,0.32603690685413006,5.0,7.785,7.5,9.2,0,
RA-642,642,2022,1,BAIXO,0.32218804920913885,5.0,7.75,6.9,9.7,0,
RA-666,666,2022,1,BAIXO,0.313804920913884,5.0,7.929,7.5,9.1,0,
RA-603,603,2022,1,BAIXO,0.3106151142355009,5.0,7.78,7.5,9.5,0,
RA-577,577,2022,1,BAIXO,0.31024604569420033,5.0,7.862,7.5,9.3,0,
RA-486,486,2022,1,BAIXO,0.30958699472759227,5.0,7.621,7.5,9.9,0,
RA-651,651,2022,1,BAIXO,0.3095606326889279,5.0,7.866,7.5,9.3,0,
RA-604,604,2022,1,BAIXO,0.308506151142355,5.0,8.018,7.5,9.0,0,
RA-557,557,2022,1,BAIXO,0.3023637961335677,5.0,8.334,7.5,8.4,0,
RA-507,507,2022,1,BAIXO,0.2994903339191564,5.0,7.653,7.5,10.0,0,
RA-525,525,2022,1,BAIXO,0.29342706502636207,5.0,8.013,7.5,9.3,0,
RA-613,613,2022,1,BAIXO,0.2876010544815466,5.0,8.121,7.5,9.2,0,
RA-599,599,2022,1,BAIXO,0.2794288224956063,5.0,8.2,7.5,9.2,0,
RA-563,563,2022,1,BAIXO,0.2780052724077329,5.0,8.22,7.5,9.2,0,
RA-530,530,2022,1,BAIXO,0.2768717047451669,5.0,8.338,7.5,9.0,0,
RA-499,499,2022,1,BAIXO,0.27660808435852374,5.0,7.826,7.5,10.0,0,
RA-602,602,2022,1,BAIXO,0.26809314586994726,5.0,8.041,7.5,9.7,0,
RA-653,653,2022,1,BAIXO,0.2671441124780316,5.0,8.101,7.5,9.6,0,
RA-503,503,2022,1,BAIXO,0.2622671353251318,5.0,7.95,7.5,10.0,0,
RA-531,531,2022,1,BAIXO,0.2602372583479789,5.0,8.057,7.5,9.8,0,
RA-479,479,2022,1,BAIXO,0.25702108963093145,5.0,8.465,7.5,9.2,0,
