RA,Fase,Turma,Ano nasc,Idade 22,Gênero,Ano ingresso,Instituição de ensino,Pedra 20,Pedra 21,Pedra 22,INDE 22,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Rec Av3,Avaliador4,Rec Av4,IAA,IEG,IPS,Rec Psicologia,IDA,Matem,Portug,Inglês,Indicado,Atingiu PV,IPV,IAN,Destaque IEG,Destaque IDA,Destaque IPV,ano_base,INDE 2023,Pedra 2023,Data de Nasc,Idade,Pedra 23,INDE 23,IPP,Mat,Por,Ing,INDE 2024,Pedra 2024,Avaliador5,Avaliador6,Escola,Ativo/ Inativo,Defasagem_final,Avaliador1_id,Avaliador2_id,Avaliador3_id,Avaliador4_id,Avaliador5_id,Avaliador6_id,FaseIdeal_txt,Fase_num,Fase_sufixo,FaseIdeal_num,ra_num,INDE_final,INDE_fonte,PEDRA_final,PEDRA_fonte
RA-11,7,A,2004,18,Menina,2016,Escola Pública,Quartzo,Ágata,Quartzo,5.323,799,19,11,4,avaliador-5,Promovido de Fase,avaliador-27,Mantido na Fase atual,avaliador-28,Mantido na Fase atual,avaliador-31,Mantido na Fase atual,9.2,4.2,5.0,Requer avaliação,3.0,1.8,2.5,4.5,Não,Não,6.389,5.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,-1,5,27,28,31,,,Fase 8 (Universitários),7,,8,11,5.323,INDE 2022,Quartzo,Pedra 2022
RA-12,7,A,2005,17,Menina,2020,Escola Pública,Ágata,Ágata,Quartzo,4.832,834,20,12,4,avaliador-5,Promovido de Fase,avaliador-27,Promovido de Fase + Bolsa,avaliador-28,Mantido na Fase atual,avaliador-31,Mantido na Fase atual,0.0,4.0,6.9,Sem limitações,1.5,2.7,1.1,0.7,Sim,Não,6.389,10.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,0,5,27,28,31,,,Fase 7 (3º EM),7,,7,12,4.832,INDE 2022,Quartzo,Pedra 2022
RA-13,7,A,2004,18,Menino,2016,Escola Pública,Ametista,Ametista,Ágata,6.902,524,10,4,4,avaliador-5,Promovido de Fase,avaliador-27,Promovido de Fase + Bolsa,avaliador-28,Promovido de Fase + Bolsa,avaliador-31,Mantido na Fase atual,7.9,7.4,7.5,Sem limitações,4.7,3.5,5.5,5.2,Sim,Não,8.056,5.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,-1,5,27,28,31,,,Fase 8 (Universitários),7,,8,13,6.902,INDE 2022,Ágata,Pedra 2022
RA-14,7,D,2001,21,Menino,2022,Escola Pública,,,Ágata,6.793,558,12,7,4,avaliador-6,Promovido de Fase + Bolsa,avaliador-27,Mantido na Fase atual,avaliador-29,Mantido na Fase atual,avaliador-31,Mantido na Fase atual,7.9,8.3,7.5,Não atendido,4.0,8.0,0.0,,Sim,Não,7.75,5.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,-1,6,27,29,31,,,Fase 8 (Universitários),7,,8,14,6.793,INDE 2022,Ágata,Pedra 2022
RA-15,7,D,2004,18,Menino,2022,Escola Pública,,,Ametista,7.783,207,3,2,4,avaliador-6,Promovido de Fase + Bolsa,avaliador-27,Mantido na Fase atual,avaliador-29,Mantido na Fase + Bolsa,avaliador-31,Mantido na Fase atual,8.8,10.0,7.5,Não atendido,7.3,8.0,6.5,,Sim,Não,7.292,5.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,-1,6,27,29,31,,,Fase 8 (Universitários),7,,8,15,7.783,INDE 2022,Ametista,Pedra 2022
RA-16,7,D,2003,19,Menino,2022,Escola Pública,,,Ágata,6.112,706,14,8,4,avaliador-6,Promovido de Fase + Bolsa,avaliador-27,Mantido na Fase atual,avaliador-29,Mantido na Fase + Bolsa,avaliador-31,Mantido na Fase atual,7.9,8.3,5.0,Requer avaliação,3.5,7.0,0.0,,Sim,Não,6.333,5.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,-1,6,27,29,31,,,Fase 8 (Universitários),7,,8,16,6.112,INDE 2022,Ágata,Pedra 2022
RA-17,7,D,2002,20,Menino,2022,Escola Pública,,,Topázio,8.068,125,2,1,4,avaliador-6,Promovido de Fase + Bolsa,avaliador-27,Mantido na Fase atual,avaliador-29,Mantido na Fase + Bolsa,avaliador-31,Mantido na Fase atual,8.8,10.0,7.5,Não atendido,7.8,9.0,6.5,,Sim,Não,8.292,5.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,-1,6,27,29,31,,,Fase 8 (Universitários),7,,8,17,8.068,INDE 2022,Topázio,Pedra 2022
RA-18,7,D,2003,19,Menino,2022,Escola Pública,,,Ametista,7.226,418,7,5,4,avaliador-6,Promovido de Fase + Bolsa,avaliador-27,Mantido na Fase atual,avaliador-29,Promovido de Fase + Bolsa,avaliador-31,Mantido na Fase atual,6.3,8.7,6.3,Requer avaliação,9.0,9.0,9.0,,Sim,Não,6.875,5.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,-1,6,27,29,31,,,Fase 8 (Universitários),7,,8,18,7.226,INDE 2022,Ametista,Pedra 2022
RA-19,7,D,2003,19,Menina,2022,Escola Pública,,,Ametista,7.665,248,4,3,4,avaliador-6,Promovido de Fase + Bolsa,avaliador-27,Mantido na Fase atual,avaliador-29,Promovido de Fase + Bolsa,avaliador-31,Mantido na Fase atual,7.9,9.5,7.5,Sem limitações,8.0,7.0,9.0,,Sim,Não,7.0,5.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,-1,6,27,29,31,,,Fase 8 (Universitários),7,,8,19,7.665,INDE 2022,Ametista,Pedra 2022
RA-20,7,D,2003,19,Menina,2022,Escola Pública,,,Ametista,7.535,296,5,4,4,avaliador-6,Promovido de Fase + Bolsa,avaliador-27,Mantido na Fase atual,avaliador-29,Mantido na Fase + Bolsa,avaliador-31,Mantido na Fase atual,7.1,10.0,6.3,Não atendido,7.8,9.0,6.5,,Sim,Não,7.167,5.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,-1,6,27,29,31,,,Fase 8 (Universitários),7,,8,20,7.535,INDE 2022,Ametista,Pedra 2022
