RA,ra_num,ano_base,Fase_num,INDE_final,INDE_prev,delta_INDE,queda,IPS,IPS_prev
RA-200,200,2022,3,5.705,,,0,4.4,
RA-200,200,2023,4,5.661166667,5.705,-0.04383333300000025,1,2.52,4.4
RA-201,201,2022,3,7.078,,,0,7.5,
RA-202,202,2022,3,5.201,,,0,4.4,
RA-202,202,2023,4,6.791641667,5.201,1.5906416670000008,0,2.52,4.4
RA-202,202,2024,5,7.3512154762,6.791641667,0.5595738091999998,0,6.26,2.52
RA-203,203,2022,3,5.669,,,0,7.5,
RA-204,204,2022,3,6.943,,,0,4.4,
RA-204,204,2023,4,7.557558333,6.943,0.6145583330000006,0,2.52,4.4
RA-204,204,2024,4,7.838218894866668,7.557558333,0.280660561866668,0,6.26,2.52
RA-205,205,2022,3,5.372,,,0,7.5,
RA-205,205,2023,4,6.857625,5.372,1.4856249999999998,0,4.38,7.5
RA-206,206,2022,3,7.101,,,0,7.5,
RA-207,207,2022,3,4.936,,,0,7.5,
RA-208,208,2022,3,6.667,,,0,7.5,
RA-209,209,2022,3,4.499,,,0,5.6,
RA-210,210,2022,3,4.44,,,0,7.5,
RA-211,211,2022,3,8.465,,,0,7.5,
RA-211,211,2023,4,8.024791667,8.465,-0.4402083329999993,1,2.52,7.5
RA-211,211,2024,5,8.283601875933334,8.024791667,0.2588102089333333,0,7.51,2.52
RA-212,212,2022,3,7.268,,,0,7.5,
RA-213,213,2022,3,7.209,,,0,7.5,
RA-214,214,2022,3,4.87,,,0,7.5,
RA-215,215,2022,3,7.172,,,0,7.5,
RA-215,215,2023,4,7.166475,7.172,-0.005524999999999558,1,2.52,7.5
RA-215,215,2024,5,7.045258874400002,7.166475,-0.12121612559999839,1,6.26,2.52
RA-216,216,2022,3,7.502,,,0,7.5,
RA-217,217,2022,3,7.397,,,0,7.5,
RA-217,217,2023,4,6.96965,7.397,-0.42735000000000056,1,2.52,7.5
RA-217,217,2024,5,7.4209164502,6.96965,0.45126645020000034,0,6.26,2.52
RA-218,218,2022,3,6.1,,,0,7.5,
RA-218,218,2023,4,5.811541667,6.1,-0.28845833299999946,1,2.52,7.5
RA-219,219,2022,3,5.942,,,0,7.5,
RA-220,220,2022,3,7.028,,,0,7.5,
RA-220,220,2023,4,7.102016667,7.028,0.07401666700000042,0,2.52,7.5
RA-220,220,2024,5,7.6987770562666675,7.102016667,0.5967603892666675,0,6.26,2.52
RA-221,221,2022,3,6.892,,,0,7.5,
RA-221,221,2023,3,6.959916667,6.892,0.06791666699999954,0,5.0,7.5
RA-222,222,2022,3,5.604,,,0,7.5,
RA-223,223,2022,3,4.966,,,0,7.5,
RA-223,223,2023,3,5.089833333,4.966,0.12383333299999943,0,7.52,7.5
RA-224,224,2022,3,5.671,,,0,7.5,
RA-225,225,2022,3,5.918,,,0,7.5,
RA-226,226,2022,3,6.549,,,0,7.5,
RA-227,227,2022,3,6.471,,,0,7.5,
RA-227,227,2023,3,7.722125,6.471,1.251125,0,5.63,7.5
RA-227,227,2024,3,8.074015455333335,7.722125,0.35189045533333463,0,9.38,5.63
RA-228,228,2022,3,6.196,,,0,7.5,
RA-229,229,2022,3,8.62,,,0,7.5,
RA-229,229,2023,4,8.207591667,8.62,-0.41240833299999835,1,2.52,7.5
RA-229,229,2024,5,8.852545634933334,8.207591667,0.6449539679333327,0,5.635,2.52
RA-230,230,2022,3,6.328,,,0,7.5,
RA-231,231,2022,3,6.116,,,0,7.5,
RA-232,232,2022,3,4.245,,,0,7.5,
RA-233,233,2022,3,6.051,,,0,7.5,
RA-234,234,2022,3,6.719,,,0,5.6,
RA-234,234,2023,3,6.248741667,6.719,-0.4702583330000003,1,2.52,5.6
RA-235,235,2022,3,6.79,,,0,7.5,
RA-236,236,2022,3,7.11,,,0,7.5,
RA-236,236,2023,3,7.337116667,7.11,0.22711666699999977,0,7.52,7.5
RA-236,236,2024,4,6.980833740133334,7.337116667,-0.3562829268666663,1,6.26,7.52
RA-237,237,2022,3,8.084,,,0,7.5,
RA-237,237,2023,4,7.436566667,8.084,-0.6474333329999995,1,2.52,7.5
RA-237,237,2024,5,7.931384271366667,7.436566667,0.4948176043666672,0,6.26,2.52
RA-238,238,2022,3,6.331,,,0,5.0,
RA-239,239,2022,3,4.572,,,0,7.5,
RA-239,239,2023,4,6.411333333,4.572,1.839333333,0,5.0,7.5
RA-239,239,2024,4,6.782180868800001,6.411333333,0.3708475358000012,0,5.635,5.0
RA-240,240,2022,3,6.943,,,0,5.0,
RA-240,240,2023,4,6.337966667,6.943,-0.6050333329999997,1,2.52,5.0
RA-241,241,2022,3,8.468,,,0,7.5,
RA-241,241,2023,4,7.016,8.468,-1.452,1,2.52,7.5
RA-241,241,2024,7,8.311616666733334,7.016,1.2956166667333342,0,7.1975,2.52
RA-242,242,2022,3,8.673,,,0,5.6,
RA-242,242,2023,4,8.221841667,8.673,-0.4511583330000004,1,2.52,5.6
RA-242,242,2024,7,8.2887,8.221841667,0.06685833300000077,0,6.26,2.52
RA-243,243,2022,3,6.982,,,0,5.0,
RA-244,244,2022,3,8.51,,,0,6.3,
RA-244,244,2023,4,7.044333333,8.51,-1.4656666669999998,1,2.52,6.3
RA-244,244,2024,5,8.7225,7.044333333,1.6781666670000002,0,6.26,2.52
RA-245,245,2022,3,8.656,,,0,7.5,
RA-245,245,2023,4,7.171166667,8.656,-1.484833333000001,1,2.52,7.5
RA-245,245,2024,7,8.452633333266668,7.171166667,1.2814666662666685,0,6.885,2.52
RA-246,246,2022,3,8.639,,,0,7.5,
RA-246,246,2023,4,8.256766667,8.639,-0.3822333329999985,1,4.39,7.5
RA-246,246,2024,7,4.7404,8.256766667,-3.5163666670000007,1,6.57,4.39
RA-247,247,2022,3,7.72,,,0,7.5,
RA-247,247,2023,3,7.221958333,7.72,-0.49804166699999985,1,7.52,7.5
RA-247,247,2024,4,6.646485739800001,7.221958333,-0.5754725931999989,1,6.26,7.52
RA-248,248,2022,3,7.429,,,0,7.5,
RA-249,249,2022,3,5.097,,,0,5.0,
RA-249,249,2023,3,5.444625,5.097,0.34762499999999985,0,5.0,5.0
RA-249,249,2024,4,6.125104328999999,5.444625,0.6804793289999989,0,5.0,5.0
RA-250,250,2022,3,7.958,,,0,7.5,
RA-250,250,2023,3,7.598208333,7.958,-0.35979166700000054,1,5.63,7.5
RA-250,250,2024,4,9.049892592566668,7.598208333,1.451684259566668,0,6.88,5.63
RA-251,251,2022,3,7.022,,,0,5.6,
RA-251,251,2023,4,6.665208333,7.022,-0.3567916670000004,1,2.52,5.6
RA-251,251,2024,5,6.7135006212,6.665208333,0.04829228819999987,0,5.63,2.52
RA-252,252,2022,3,4.277,,,0,7.5,
RA-253,253,2022,3,4.312,,,0,5.0,
RA-254,254,2022,3,6.715,,,0,5.6,
RA-254,254,2023,4,,6.715,,0,,5.6
RA-255,255,2022,3,4.563,,,0,5.0,
RA-256,256,2022,3,7.192,,,0,5.0,
RA-257,257,2022,3,5.149,,,0,5.6,
RA-258,258,2022,3,6.926,,,0,5.6,
RA-258,258,2024,3,6.429063888866667,6.926,-0.49693611113333347,1,7.51,5.6
RA-259,259,2022,3,4.182,,,0,7.5,
RA-260,260,2022,3,7.44,,,0,7.5,
RA-260,260,2023,3,8.080008333,7.44,0.6400083329999999,0,7.52,7.5
RA-260,260,2024,4,8.448920634933334,8.080008333,0.36891230193333335,0,7.51,7.52
RA-261,261,2022,3,6.763,,,0,5.6,
RA-262,262,2022,3,4.786,,,0,5.6,
RA-262,262,2023,4,4.406458333,4.786,-0.3795416669999998,1,5.0,5.6
RA-262,262,2024,4,5.806145462066667,4.406458333,1.3996871290666668,0,7.51,5.0
RA-263,263,2022,3,5.319,,,0,7.5,
RA-264,264,2022,3,7.087,,,0,5.6,
RA-265,265,2022,3,7.926,,,0,7.5,
RA-265,265,2023,4,,7.926,,0,,7.5
RA-266,266,2022,3,5.987,,,0,5.6,
RA-267,267,2022,3,6.012,,,0,5.0,
RA-267,267,2023,4,,6.012,,0,,5.0
RA-267,267,2024,5,5.8963067819666675,,,0,6.26,
RA-268,268,2022,3,6.695,,,0,6.3,
RA-269,269,2022,3,8.231,,,0,6.3,
RA-269,269,2023,4,8.116041667,8.231,-0.11495833300000058,1,2.52,6.3
RA-269,269,2024,7,8.4773,8.116041667,0.3612583330000003,0,7.505,2.52
RA-270,270,2022,3,8.226,,,0,6.9,
RA-270,270,2023,4,7.982633333,8.226,-0.24336666700000098,1,2.52,6.9
RA-270,270,2024,7,4.79255,7.982633333,-3.1900833329999996,1,6.2575,2.52
RA-271,271,2022,3,7.255,,,0,5.6,
RA-271,271,2023,4,6.140333333,7.255,-1.1146666669999998,1,2.52,5.6
RA-271,271,2024,5,7.400633333333334,6.140333333,1.2603000003333342,0,6.26,2.52
RA-272,272,2022,3,6.361,,,0,7.5,
RA-273,273,2022,3,5.679,,,0,7.5,
RA-273,273,2023,3,6.337116667,5.679,0.6581166669999998,0,2.52,7.5
RA-273,273,2024,4,6.5991307798,6.337116667,0.2620141128000002,0,6.26,2.52
RA-274,274,2022,3,7.946,,,0,7.5,
RA-274,274,2023,4,8.137625,7.946,0.19162500000000016,0,5.63,7.5
RA-274,274,2024,5,8.651029629666667,8.137625,0.5134046296666668,0,5.635,5.63
RA-275,275,2022,3,6.665,,,0,7.5,
RA-276,276,2022,3,5.527,,,0,5.6,
RA-276,276,2023,4,6.690458333,5.527,1.1634583329999995,0,2.52,5.6
RA-277,277,2022,3,7.411,,,0,7.5,
RA-277,277,2023,4,7.7284,7.411,0.3174000000000001,0,7.52,7.5
RA-277,277,2024,7,8.0689833334,7.7284,0.3405833334000006,0,6.5725,7.52
RA-278,278,2022,3,7.741,,,0,5.6,
RA-278,278,2023,4,7.1935,7.741,-0.5474999999999994,1,5.63,5.6
RA-278,278,2024,5,8.907314492800001,7.1935,1.713814492800001,0,7.51,5.63
RA-279,279,2022,3,8.815,,,0,6.3,
RA-279,279,2023,4,9.006266667,8.815,0.19126666700000072,0,6.27,6.3
RA-279,279,2024,5,9.113133333366667,9.006266667,0.10686666636666686,0,7.51,6.27
RA-280,280,2022,3,8.046,,,0,7.5,
RA-280,280,2023,4,8.189225,8.046,0.14322500000000105,0,7.52,7.5
RA-280,280,2024,5,8.822714492700001,8.189225,0.6334894927000008,0,6.26,7.52
RA-281,281,2022,3,6.806,,,0,7.5,
RA-282,282,2022,3,6.618,,,0,7.5,
RA-283,283,2022,3,7.131,,,0,7.5,
RA-283,283,2023,3,7.549025,7.131,0.4180250000000001,0,7.52,7.5
RA-283,283,2024,4,7.9444309524,7.549025,0.3954059524,0,6.885,7.52
RA-284,284,2022,3,5.939,,,0,5.6,
RA-285,285,2022,3,5.063,,,0,7.5,
RA-285,285,2023,4,5.380358333,5.063,0.3173583330000005,0,2.52,7.5
RA-286,286,2022,3,5.424,,,0,6.3,
RA-286,286,2023,4,5.713333333,5.424,0.2893333329999992,0,5.0,6.3
RA-286,286,2024,5,5.123180882333333,5.713333333,-0.5901524506666664,1,6.26,5.0
RA-287,287,2022,3,3.7,,,0,5.0,
RA-287,287,2023,4,3.745541667,3.7,0.04554166699999973,0,2.52,5.0
RA-288,288,2022,3,4.097,,,0,6.3,
RA-289,289,2022,3,6.236,,,0,6.3,
RA-290,290,2022,3,4.929,,,0,6.3,
RA-291,291,2022,3,8.122,,,0,6.9,
RA-291,291,2023,4,8.493058333,8.122,0.3710583330000006,0,7.52,6.9
RA-291,291,2024,7,7.9319666667333335,8.493058333,-0.561091666266667,1,6.26,7.52
RA-292,292,2022,3,4.837,,,0,7.5,
RA-293,293,2022,3,4.875,,,0,7.5,
RA-294,294,2022,3,5.031,,,0,7.5,
RA-295,295,2022,3,7.305,,,0,7.5,
RA-295,295,2023,4,7.641016667,7.305,0.336016667,0,2.52,7.5
RA-296,296,2022,3,4.665,,,0,7.5,
RA-297,297,2022,3,7.478,,,0,6.3,
RA-298,298,2022,3,6.409,,,0,5.6,
RA-298,298,2023,3,6.824333333,6.409,0.4153333330000004,0,2.52,5.6
RA-299,299,2022,3,7.278,,,0,5.0,
RA-299,299,2023,4,6.796541667,7.278,-0.48145833299999996,1,2.52,5.0
RA-299,299,2024,5,8.177186956533333,6.796541667,1.3806452895333337,0,6.26,2.52
RA-300,300,2022,3,5.557,,,0,6.3,
RA-300,300,2023,3,5.616691667,5.557,0.05969166700000006,0,2.52,6.3
RA-301,301,2022,3,6.802,,,0,5.6,
RA-301,301,2023,4,6.760341667,6.802,-0.04165833299999999,1,7.52,5.6
RA-301,301,2024,4,8.410830701766667,6.760341667,1.6504890347666672,0,7.51,7.52
RA-302,302,2022,3,6.334,,,0,6.9,
RA-302,302,2023,5,5.314333333,6.334,-1.0196666669999992,1,5.0,6.9
RA-303,303,2022,3,6.03,,,0,7.5,
RA-303,303,2023,3,5.914291667,6.03,-0.11570833300000061,1,7.52,7.5
RA-303,303,2024,4,6.2443426900666665,5.914291667,0.3300510230666669,0,7.51,7.52
RA-304,304,2022,3,6.355,,,0,7.5,
RA-304,304,2023,3,6.241583333,6.355,-0.11341666700000008,1,5.0,7.5
RA-304,304,2024,3,6.852411484600001,6.241583333,0.6108281516000007,0,7.51,5.0
RA-305,305,2022,3,6.058,,,0,7.5,
RA-305,305,2023,3,6.394291667,6.058,0.33629166700000024,0,7.52,7.5
RA-305,305,2024,4,6.693026811600001,6.394291667,0.29873514460000106,0,6.26,7.52
RA-306,306,2022,3,6.427,,,0,7.5,
RA-306,306,2023,4,5.732375,6.427,-0.6946249999999994,1,6.26,7.5
RA-306,306,2024,5,6.1661539474,5.732375,0.43377894739999956,0,7.51,6.26
RA-307,307,2022,3,4.733,,,0,7.5,
RA-307,307,2023,3,6.047333333,4.733,1.3143333330000004,0,7.52,7.5
RA-308,308,2022,3,6.93,,,0,6.9,
RA-308,308,2023,4,6.578558333,6.93,-0.35144166699999957,1,5.0,6.9
RA-308,308,2024,5,7.489282456133334,6.578558333,0.9107241231333338,0,5.635,5.0
RA-309,309,2022,3,6.151,,,0,7.5,
RA-310,310,2022,3,6.4,,,0,7.5,
RA-311,311,2022,3,5.652,,,0,5.0,
RA-312,312,2022,3,7.339,,,0,7.5,
RA-313,313,2022,3,5.8,,,0,5.0,
RA-313,313,2023,4,7.011091667,5.8,1.2110916669999998,0,2.52,5.0
RA-313,313,2024,4,7.2528500000000005,7.011091667,0.24175833300000082,0,5.63,2.52
RA-314,314,2022,3,6.1,,,0,5.0,
RA-315,315,2022,3,5.672,,,0,7.5,
RA-315,315,2023,3,5.977708333,5.672,0.3057083330000001,0,5.0,7.5
RA-315,315,2024,4,6.0768703704,5.977708333,0.09916203740000018,0,7.51,5.0
RA-316,316,2022,3,7.889,,,0,6.9,
RA-316,316,2023,4,8.436908333,7.889,0.5479083329999996,0,7.52,6.9
RA-316,316,2024,5,8.708925,8.436908333,0.2720166670000008,0,7.51,7.52
RA-317,317,2022,3,7.04,,,0,7.5,
RA-318,318,2022,3,6.527,,,0,6.9,
RA-318,318,2023,4,6.856575,6.527,0.3295750000000002,0,6.26,6.9
RA-318,318,2024,5,7.025000925866668,6.856575,0.16842592586666782,0,7.51,6.26
RA-319,319,2022,3,7.448,,,0,7.5,
RA-319,319,2023,4,8.367208333,7.448,0.9192083330000003,0,5.0,7.5
RA-319,319,2024,5,7.948699561466667,8.367208333,-0.4185087715333333,1,7.51,5.0
RA-320,320,2022,3,7.897,,,0,6.9,
RA-320,320,2023,4,8.393508333,7.897,0.4965083329999995,0,7.52,6.9
RA-320,320,2024,5,8.442258333333335,8.393508333,0.04875000033333521,0,7.51,7.52
RA-321,321,2022,3,7.792,,,0,5.6,
RA-321,321,2023,4,7.695233333,7.792,-0.0967666669999998,1,2.52,5.6
RA-321,321,2024,5,8.125807932933334,7.695233333,0.43057459993333413,0,6.26,2.52
RA-322,322,2022,3,6.859,,,0,5.0,
RA-322,322,2023,4,7.037808333,6.859,0.1788083330000001,0,2.52,5.0
RA-323,323,2022,3,6.86,,,0,7.5,
RA-324,324,2022,2,8.27,,,0,6.9,
RA-324,324,2023,2,7.6354,8.27,-0.6345999999999998,1,2.52,6.9
RA-325,325,2022,2,7.619,,,0,7.5,
RA-325,325,2023,2,6.243,7.619,-1.3759999999999994,1,5.0,7.5
RA-325,325,2024,3,8.385133333233336,6.243,2.1421333332333354,0,7.51,5.0
RA-326,326,2022,2,8.22,,,0,5.0,
RA-326,326,2023,3,8.65075,8.22,0.43074999999999974,0,3.14,5.0
RA-326,326,2024,4,8.832389092333335,8.65075,0.18163909233333442,0,6.26,3.14
RA-327,327,2022,2,6.986,,,0,7.5,
RA-328,328,2022,2,6.823,,,0,7.5,
RA-329,329,2022,2,6.313,,,0,4.4,
RA-330,330,2022,2,6.446,,,0,7.5,
RA-330,330,2023,3,6.084875,6.446,-0.3611249999999995,1,6.89,7.5
RA-331,331,2022,2,6.636,,,0,7.5,
RA-331,331,2023,3,7.039791667,6.636,0.40379166700000013,0,2.52,7.5
RA-331,331,2024,3,6.231045707066668,7.039791667,-0.808745959933332,1,8.755,2.52
RA-332,332,2022,2,7.883,,,0,8.1,
RA-332,332,2023,3,8.002591667,7.883,0.11959166700000079,0,8.76,8.1
RA-332,332,2024,4,8.421271701,8.002591667,0.4186800339999994,0,9.38,8.76
RA-333,333,2022,2,5.249,,,0,3.8,
RA-334,334,2022,2,7.961,,,0,4.4,
RA-335,335,2022,2,7.902,,,0,7.5,
RA-336,336,2022,2,6.787,,,0,4.4,
RA-336,336,2023,3,5.887708333,6.787,-0.899291667,1,6.89,4.4
RA-336,336,2024,4,6.834286748466667,5.887708333,0.946578415466667,0,6.26,6.89
RA-337,337,2022,2,7.914,,,0,7.5,
RA-338,338,2022,2,6.837,,,0,7.5,
RA-338,338,2023,3,8.287441667,6.837,1.4504416669999998,0,7.52,7.5
RA-338,338,2024,4,8.052795331466667,8.287441667,-0.23464633553333236,1,7.51,7.52
RA-339,339,2022,2,8.488,,,0,7.5,
RA-339,339,2023,3,7.377583333,8.488,-1.110416667,1,7.52,7.5
RA-339,339,2024,4,7.711540746133334,7.377583333,0.3339574131333345,0,5.635,7.52
RA-340,340,2022,2,7.721,,,0,7.5,
RA-340,340,2023,2,7.059666667,7.721,-0.661333333,1,2.52,7.5
RA-340,340,2024,3,6.715437329466668,7.059666667,-0.3442293375333323,1,7.51,2.52
RA-341,341,2022,2,6.854,,,0,7.5,
RA-342,342,2022,2,6.941,,,0,7.5,
RA-342,342,2023,3,7.539875,6.941,0.5988750000000005,0,7.52,7.5
RA-342,342,2024,4,6.757026587266667,7.539875,-0.7828484127333333,1,6.26,7.52
RA-343,343,2022,2,6.9,,,0,7.5,
RA-343,343,2023,3,6.779591667,6.9,-0.12040833300000031,1,6.26,7.5
RA-344,344,2022,2,7.263,,,0,7.5,
RA-345,345,2022,2,5.75,,,0,5.6,
RA-345,345,2023,3,6.534766667,5.75,0.7847666670000004,0,6.26,5.6
RA-346,346,2022,2,8.143,,,0,7.5,
RA-346,346,2023,3,7.305541667,8.143,-0.8374583330000007,1,8.14,7.5
RA-346,346,2024,3,7.761749603200001,7.305541667,0.4562079362000011,0,2.51,8.14
RA-347,347,2022,2,7.908,,,0,5.6,
RA-347,347,2023,3,7.61835,7.908,-0.28964999999999996,1,2.52,5.6
RA-347,347,2024,4,8.384742583733333,7.61835,0.7663925837333325,0,6.885,2.52
RA-348,348,2022,2,5.864,,,0,7.5,
RA-348,348,2023,2,6.817866667,5.864,0.9538666669999998,0,2.52,7.5
RA-349,349,2022,2,5.658,,,0,7.5,
RA-350,350,2022,2,8.206,,,0,7.5,
RA-350,350,2023,2,7.972033333,8.206,-0.2339666669999998,1,2.52,7.5
RA-351,351,2022,2,6.622,,,0,7.5,
RA-352,352,2022,2,7.834,,,0,5.6,
RA-352,352,2023,3,7.840341667,7.834,0.006341667000000051,0,6.26,5.6
RA-352,352,2024,4,5.9794829346,7.840341667,-1.8608587323999997,1,6.26,6.26
RA-353,353,2022,2,8.264,,,0,7.5,
RA-353,353,2023,3,8.309016667,8.264,0.04501666700000051,0,2.52,7.5
RA-354,354,2022,2,5.858,,,0,7.5,
RA-355,355,2022,2,5.379,,,0,7.5,
RA-356,356,2022,2,6.69,,,0,5.0,
RA-356,356,2023,3,6.452008333,6.69,-0.23799166700000018,1,2.52,5.0
RA-356,356,2024,4,6.627336016533334,6.452008333,0.17532768353333417,0,5.635,2.52
RA-357,357,2022,2,7.836,,,0,7.5,
RA-357,357,2023,2,8.2832,7.836,0.4472000000000005,0,7.52,7.5
RA-357,357,2024,3,7.731569404200001,8.2832,-0.5516305957999998,1,8.135,7.52
RA-358,358,2022,2,5.412,,,0,7.5,
RA-359,359,2022,2,6.606,,,0,7.5,
RA-359,359,2023,3,7.627125,6.606,1.0211250000000005,0,2.52,7.5
RA-359,359,2024,4,7.492006349133335,7.627125,-0.13511865086666575,1,6.26,2.52
RA-360,360,2022,2,7.075,,,0,7.5,
RA-360,360,2023,3,5.790875,7.075,-1.2841250000000004,1,2.52,7.5
RA-360,360,2024,3,6.293175689166667,5.790875,0.5023006891666668,0,5.0,2.52
RA-361,361,2022,2,6.731,,,0,6.3,
RA-362,362,2022,2,7.413,,,0,7.5,
RA-362,362,2023,3,6.392625,7.413,-1.0203750000000005,1,7.52,7.5
RA-363,363,2022,2,6.644,,,0,6.9,
RA-363,363,2023,2,6.680833333,6.644,0.03683333299999969,0,2.52,6.9
RA-363,363,2024,3,7.617803571466666,6.680833333,0.9369702384666665,0,5.625,2.52
RA-364,364,2022,2,8.75,,,0,7.5,
RA-364,364,2023,3,7.734891667,8.75,-1.0151083329999997,1,6.89,7.5
RA-364,364,2024,3,8.2697037582,7.734891667,0.5348120912000001,0,7.51,6.89
RA-365,365,2022,2,8.063,,,0,5.0,
RA-365,365,2023,2,8.6587,8.063,0.595699999999999,0,2.52,5.0
RA-365,365,2024,3,8.526983333333334,8.6587,-0.13171666666666582,1,7.51,2.52
RA-366,366,2022,2,7.181,,,0,7.5,
RA-367,367,2022,2,6.95,,,0,6.3,
RA-367,367,2023,3,7.38685,6.95,0.43684999999999974,0,2.52,6.3
RA-367,367,2024,4,7.209434085200001,7.38685,-0.17741591479999919,1,6.26,2.52
RA-368,368,2022,2,6.969,,,0,5.0,
RA-368,368,2023,3,5.796458333,6.969,-1.172541667,1,2.52,5.0
RA-368,368,2024,3,6.782158333333333,5.796458333,0.9857000003333329,0,7.51,2.52
RA-369,369,2022,2,6.973,,,0,7.5,
RA-369,369,2023,2,6.0197,6.973,-0.9532999999999996,1,5.0,7.5
RA-369,369,2024,3,5.667282265,6.0197,-0.3524177350000004,1,7.51,5.0
RA-370,370,2022,2,7.066,,,0,5.0,
RA-371,371,2022,2,8.112,,,0,6.9,
RA-372,372,2022,2,7.304,,,0,6.9,
RA-373,373,2022,2,7.503,,,0,5.0,
RA-373,373,2023,2,6.805,7.503,-0.6980000000000004,1,2.52,5.0
RA-374,374,2022,2,7.747,,,0,7.5,
RA-374,374,2023,3,7.533891667,7.747,-0.2131083330000001,1,5.63,7.5
RA-375,375,2022,2,7.831,,,0,7.5,
RA-375,375,2023,2,7.070833333,7.831,-0.760166667,1,5.0,7.5
RA-375,375,2024,3,7.970034615400001,7.070833333,0.8992012824000009,0,7.51,5.0
RA-376,376,2022,2,6.957,,,0,7.5,
RA-376,376,2023,2,7.1392,6.957,0.18219999999999992,0,2.52,7.5
RA-376,376,2024,3,5.896573588800001,7.1392,-1.242626411199999,1,2.51,2.52
RA-377,377,2022,2,6.743,,,0,5.6,
RA-377,377,2023,3,7.205041667,6.743,0.4620416669999994,0,5.0,5.6
RA-377,377,2024,4,7.480115873000001,7.205041667,0.2750742060000011,0,7.51,5.0
RA-378,378,2022,2,7.203,,,0,5.6,
RA-379,379,2022,2,6.722,,,0,7.5,
RA-380,380,2022,2,4.556,,,0,5.0,
RA-380,380,2023,3,4.912375,4.556,0.3563749999999999,0,2.52,5.0
RA-381,381,2022,2,6.454,,,0,6.9,
RA-381,381,2023,3,5.758041667,6.454,-0.6959583330000001,1,6.89,6.9
RA-381,381,2024,3,5.940775,5.758041667,0.18273333300000072,0,7.51,6.89
RA-382,382,2022,2,6.777,,,0,6.3,
RA-382,382,2023,3,6.223833333,6.777,-0.5531666670000002,1,6.26,6.3
RA-382,382,2024,4,5.805712280733333,6.223833333,-0.41812105226666674,1,5.63,6.26
RA-383,383,2022,2,8.4,,,0,7.5,
RA-383,383,2023,3,7.5408,8.4,-0.8592000000000004,1,3.14,7.5
RA-383,383,2024,4,8.036024386733335,7.5408,0.4952243867333346,0,7.51,3.14
RA-384,384,2022,2,7.558,,,0,6.3,
RA-384,384,2023,3,6.757958333,7.558,-0.8000416669999995,1,2.52,6.3
RA-384,384,2024,4,8.072200721466668,6.757958333,1.3142423884666679,0,7.51,2.52
RA-385,385,2022,2,6.083,,,0,5.0,
RA-386,386,2022,2,6.104,,,0,5.6,
RA-386,386,2023,3,5.758425,6.104,-0.3455750000000002,1,2.52,5.6
RA-387,387,2022,2,6.323,,,0,7.5,
RA-387,387,2023,3,4.794333333,6.323,-1.5286666670000004,1,2.52,7.5
RA-387,387,2024,3,6.125500000000001,4.794333333,1.3311666670000006,0,7.51,2.52
RA-388,388,2022,2,6.654,,,0,5.6,
RA-388,388,2023,3,5.630833333,6.654,-1.023166667,1,5.63,5.6
RA-388,388,2024,4,5.965307936466667,5.630833333,0.334474603466667,0,7.51,5.63
RA-389,389,2022,2,7.184,,,0,7.5,
RA-389,389,2023,2,6.687,7.184,-0.4969999999999999,1,2.52,7.5
RA-389,389,2024,3,7.2079551282,6.687,0.5209551281999998,0,8.76,2.52
RA-390,390,2022,2,6.776,,,0,6.3,
RA-390,390,2023,3,6.905741667,6.776,0.12974166700000023,0,2.52,6.3
RA-390,390,2024,3,6.5472236842000004,6.905741667,-0.3585179827999996,1,8.755,2.52
RA-391,391,2022,2,7.117,,,0,7.5,
RA-391,391,2023,3,6.5107,7.117,-0.6063000000000001,1,2.52,7.5
RA-392,392,2022,2,6.418,,,0,5.6,
RA-392,392,2023,3,6.567208333,6.418,0.1492083329999998,0,2.52,5.6
RA-392,392,2024,4,4.3639463364,6.567208333,-2.2032619966,1,5.635,2.52
RA-393,393,2022,2,5.518,,,0,5.0,
RA-394,394,2022,2,7.897,,,0,7.5,
RA-395,395,2022,2,7.683,,,0,7.5,
RA-395,395,2023,3,7.469175,7.683,-0.21382499999999993,1,2.52,7.5
RA-395,395,2024,4,7.169905291000001,7.469175,-0.29926970899999894,1,6.26,2.52
RA-396,396,2022,2,6.556,,,0,6.3,
RA-397,397,2022,2,5.852,,,0,6.9,
RA-397,397,2023,4,6.207083333,5.852,0.3550833329999996,0,2.52,6.9
RA-397,397,2024,4,6.807291921866668,6.207083333,0.6002085888666677,0,5.63,2.52
RA-398,398,2022,2,7.742,,,0,7.5,
RA-398,398,2023,3,7.153766667,7.742,-0.5882333329999998,1,2.52,7.5
RA-398,398,2024,3,7.2457999999666685,7.153766667,0.09203333296666827,0,7.51,2.52
RA-399,399,2022,2,6.58,,,0,5.6,
RA-399,399,2023,3,7.000033333,6.58,0.4200333330000001,0,2.52,5.6
RA-400,400,2022,2,6.042,,,0,5.0,
RA-400,400,2023,3,6.529425,6.042,0.487425,0,2.52,5.0
RA-401,401,2022,2,6.645,,,0,7.5,
RA-401,401,2023,2,6.363666667,6.645,-0.2813333329999992,1,2.52,7.5
RA-401,401,2024,3,6.728911403533334,6.363666667,0.36524473653333356,0,6.885,2.52
RA-402,402,2022,2,5.261,,,0,5.0,
RA-402,402,2023,3,6.632716667,5.261,1.3717166670000003,0,2.52,5.0
RA-402,402,2024,4,5.683064814833333,6.632716667,-0.9496518521666673,1,6.26,2.52
RA-403,403,2022,2,7.455,,,0,7.5,
