RA,ra_num,ano_base,Fase_num,Ativo/ Inativo,INDE_final,IPS,IEG,status
RA-977,977,2024,,Cursando,7.188033333300001,6.26,7.291666666499999,CURSANDO
RA-1363,1363,2024,,Cursando,7.690800000000001,5.635,10.0,CURSANDO
RA-981,981,2024,,Cursando,6.6513739130000005,6.26,7.010869565,CURSANDO
RA-1364,1364,2024,,Cursando,7.570033333300001,7.51,8.4166666665,CURSANDO
RA-1365,1365,2024,,Cursando,7.3700333333,6.26,9.7916666665,CURSANDO
RA-1366,1366,2024,,Cursando,6.919852173900001,7.51,6.6032608695,CURSANDO
RA-974,974,2024,,Cursando,7.6077217391,7.51,9.282608695499999,CURSANDO
RA-1367,1367,2024,,Cursando,8.427286956500001,7.51,8.3804347825,CURSANDO
RA-1368,1368,2024,,Cursando,8.6012,7.51,10.0,CURSANDO
RA-1369,1369,2024,,Cursando,8.052286956500001,6.26,8.6304347825,CURSANDO
RA-978,978,2024,,Cursando,7.4637,6.26,9.5,CURSANDO
RA-1370,1370,2024,,Cursando,8.0456444444,7.51,8.722222222,CURSANDO
RA-1371,1371,2024,,Cursando,6.4843521739,7.51,6.9782608695,CURSANDO
RA-1372,1372,2024,,Cursando,7.9632000000000005,8.13,10.0,CURSANDO
RA-1373,1373,2024,,Cursando,7.577286956500001,7.51,8.8804347825,CURSANDO
RA-1374,1374,2024,,Cursando,7.3707652174,7.51,9.347826087,CURSANDO
RA-1375,1375,2024,,Cursando,8.101200000000002,7.51,10.0,CURSANDO
RA-1376,1376,2024,,Cursando,8.2742769231,7.51,9.6153846155,CURSANDO
RA-994,994,2024,,Cursando,7.7982217391,6.88,9.532608695499999,CURSANDO
RA-1377,1377,2024,,Cursando,7.8987,8.13,10.0,CURSANDO
RA-1378,1378,2024,,Cursando,7.6703428571,8.13,9.2857142855,CURSANDO
RA-1379,1379,2024,,Cursando,6.638292105300001,3.755,8.6842105265,CURSANDO
RA-1380,1380,2024,,Cursando,7.964342230600001,4.385,8.784461152999999,CURSANDO
RA-770,770,2024,,Cursando,7.3057112782,7.51,9.022556391,CURSANDO
RA-1381,1381,2024,,Cursando,9.038200000000002,8.13,10.0,CURSANDO
RA-1382,1382,2024,,Cursando,7.834830952400001,7.51,9.761904762,CURSANDO
RA-1383,1383,2024,,Cursando,8.3720803259,7.51,9.2606516295,CURSANDO
RA-1384,1384,2024,,Cursando,6.221984461100001,7.51,7.5689223055,CURSANDO
RA-1385,1385,2024,,Cursando,7.7262,4.385,10.0,CURSANDO
RA-1386,1386,2024,,Cursando,7.803580952400001,7.51,9.761904762,CURSANDO
RA-1387,1387,2024,,Cursando,7.8030796992,7.51,8.759398496,CURSANDO
RA-1388,1388,2024,,Cursando,7.015057142799999,6.88,8.214285713999999,CURSANDO
RA-1389,1389,2024,,Cursando,8.980533333299999,6.88,9.7916666665,CURSANDO
RA-1390,1390,2024,,Cursando,8.4930333333,5.005,9.7916666665,CURSANDO
RA-1391,1391,2024,,Cursando,8.8435333333,7.51,9.2916666665,CURSANDO
RA-1392,1392,2024,,Cursando,5.4262,7.51,5.625,CURSANDO
RA-1393,1393,2024,,Cursando,7.2597000000000005,3.755,7.5,CURSANDO
RA-990,990,2024,1,Cursando,7.812283333400001,7.51,7.5,CURSANDO
RA-1394,1394,2024,1,Cursando,7.503255555500002,7.51,8.6944444445,CURSANDO
RA-991,991,2024,1,Cursando,7.057230303000001,6.26,8.181818182,CURSANDO
RA-1018,1018,2024,1,Cursando,7.7054045454,6.26,7.727272727,CURSANDO
RA-1395,1395,2024,1,Cursando,8.5997833334,7.51,10.0,CURSANDO
RA-1396,1396,2024,1,Cursando,7.8477,7.51,10.0,CURSANDO
RA-1025,1025,2024,1,Cursando,7.897071212,7.51,7.727272727,CURSANDO
RA-1019,1019,2024,1,Cursando,8.692255194900001,6.26,9.3073593075,CURSANDO
RA-879,879,2024,1,Cursando,8.1096318182,6.26,9.090909091,CURSANDO
RA-1020,1020,2024,1,Cursando,8.9544954545,6.88,9.7727272725,CURSANDO
RA-1021,1021,2024,1,Cursando,8.0985863636,7.51,9.318181818,CURSANDO
RA-1022,1022,2024,1,Cursando,7.613169697000002,6.26,9.318181818,CURSANDO
RA-1397,1397,2024,1,Cursando,7.8280333334000005,6.26,10.0,CURSANDO
RA-699,699,2024,1,Cursando,6.427771212000001,6.26,7.727272727000001,CURSANDO
RA-1398,1398,2024,1,Cursando,7.989700527000001,7.51,9.555335968,CURSANDO
RA-871,871,2024,1,Cursando,7.2917293147999995,4.38,9.328063240999999,CURSANDO
RA-1399,1399,2024,1,Cursando,7.438578787899999,5.005,9.7727272725,CURSANDO
RA-873,873,2024,1,Cursando,7.61095,6.88,10.0,CURSANDO
RA-898,898,2024,1,Cursando,7.8661333334000005,7.51,10.0,CURSANDO
RA-750,750,2024,1,Cursando,4.542230369,4.38,5.938735178,CURSANDO
RA-899,899,2024,1,Cursando,8.425024769300002,5.635,9.1007905135,CURSANDO
RA-878,878,2024,1,Cursando,6.5335560606000005,4.38,6.1363636360000005,CURSANDO
RA-893,893,2024,1,Cursando,8.8910333334,7.51,10.0,CURSANDO
RA-1024,1024,2024,1,Cursando,8.6516166666,7.51,10.0,CURSANDO
RA-900,900,2024,1,Cursando,8.802003030200002,8.13,9.318181818,CURSANDO
RA-903,903,2024,1,Cursando,8.0758287879,7.505,9.7727272725,CURSANDO
RA-1400,1400,2024,1,Cursando,7.622839525700001,7.51,6.6501976285,CURSANDO
RA-851,851,2024,1,Cursando,6.2114602109,5.63,7.3221343875,CURSANDO
RA-1028,1028,2024,1,Cursando,7.1404338602,5.63,7.055335968,CURSANDO
RA-922,922,2024,1,Cursando,8.5209954545,7.51,9.5227272725,CURSANDO
RA-684,684,2024,1,Cursando,7.769381818200001,7.51,9.090909091,CURSANDO
RA-1031,1031,2024,1,Cursando,6.8757227273,7.51,8.6363636365,CURSANDO
RA-892,892,2024,1,Cursando,8.697700000000001,7.51,10.0,CURSANDO
RA-1029,1029,2024,1,Cursando,7.797790909100001,6.885,8.7954545455,CURSANDO
RA-1032,1032,2024,1,Cursando,8.01645,7.51,9.75,CURSANDO
RA-894,894,2024,1,Cursando,8.67895,7.51,10.0,CURSANDO
RA-1401,1401,2024,1,Cursando,8.1188277778,7.51,8.888888889,CURSANDO
RA-896,896,2024,1,Cursando,8.2852454545,7.51,9.7727272725,CURSANDO
RA-693,693,2024,1,Cursando,8.9079954545,9.38,9.5227272725,CURSANDO
RA-743,743,2024,1,Cursando,7.655745454500001,7.51,9.2727272725,CURSANDO
RA-681,681,2024,1,Cursando,6.0398818182000005,6.26,7.840909091,CURSANDO
RA-1035,1035,2024,1,Cursando,7.833495454500001,7.51,9.0227272725,CURSANDO
RA-850,850,2024,1,Cursando,7.864245454500001,6.255,9.2727272725,CURSANDO
RA-1402,1402,2024,1,Cursando,8.588040909100002,7.51,9.5454545455,CURSANDO
RA-1403,1403,2024,1,Cursando,8.257421861500001,7.51,9.3073593075,CURSANDO
RA-1404,1404,2024,1,Cursando,8.3971318182,7.51,9.090909091,CURSANDO
RA-923,923,2024,1,Cursando,7.688609090900001,7.51,7.9545454545,CURSANDO
RA-847,847,2024,1,Cursando,5.009290909100001,5.01,4.5454545455,CURSANDO
RA-1405,1405,2024,1,Cursando,8.4749727273,7.51,8.6363636365,CURSANDO
RA-1406,1406,2024,1,Cursando,7.8186772727000005,7.51,8.8636363635,CURSANDO
RA-1407,1407,2024,1,Cursando,7.546086363600001,7.51,9.318181818,CURSANDO
RA-1408,1408,2024,1,Cursando,7.626768181800001,7.51,8.409090909,CURSANDO
RA-1409,1409,2024,1,Cursando,7.863131818100001,7.51,9.0909090905,CURSANDO
RA-1410,1410,2024,1,Cursando,7.5319272727,7.51,8.1136363635,CURSANDO
RA-874,874,2024,1,Cursando,7.0235939394,6.26,4.696969697,CURSANDO
RA-1411,1411,2024,1,Cursando,6.886950000000001,6.26,9.5,CURSANDO
RA-1412,1412,2024,1,Cursando,9.204671861500001,7.51,9.3073593075,CURSANDO
RA-690,690,2024,1,Cursando,7.3853681818000005,7.51,8.409090909,CURSANDO
RA-1413,1413,2024,1,Cursando,7.747564718600001,7.51,8.593073593,CURSANDO
RA-1414,1414,2024,1,Cursando,8.840007359300001,6.885,9.2965367965,CURSANDO
RA-995,995,2024,1,Cursando,5.110372077899999,5.635,5.3896103895,CURSANDO
RA-853,853,2024,1,Cursando,7.986866666600001,6.26,9.5833333335,CURSANDO
RA-854,854,2024,1,Cursando,7.826199999900001,6.26,10.0,CURSANDO
RA-1415,1415,2024,1,Cursando,7.3712454546,6.26,9.7727272725,CURSANDO
RA-842,842,2024,1,Cursando,7.072914756400001,6.26,7.549407115,CURSANDO
RA-700,700,2024,1,Cursando,7.005745454500001,5.635,9.564393939,CURSANDO
RA-1416,1416,2024,1,Cursando,7.375503030400001,7.51,8.2765151515,CURSANDO
RA-911,911,2024,1,Cursando,5.4552454547,7.51,4.772727273,CURSANDO
RA-859,859,2024,1,Cursando,8.5817909091,7.51,9.337121212,CURSANDO
RA-860,860,2024,1,Cursando,8.7738666667,7.51,9.7916666665,CURSANDO
RA-727,727,2024,1,Cursando,8.447003030300001,6.26,8.4848484845,CURSANDO
RA-1417,1417,2024,1,Cursando,7.7436242424,7.51,9.337121212,CURSANDO
RA-910,910,2024,1,Cursando,8.1163818182,7.51,8.674242424500001,CURSANDO
RA-840,840,2024,1,Cursando,8.5912909091,7.51,9.337121212,CURSANDO
RA-926,926,2024,1,Cursando,7.7830787878,7.51,9.7727272725,CURSANDO
RA-1418,1418,2024,1,Cursando,7.7352909091000015,7.51,9.128787879,CURSANDO
RA-927,927,2024,1,Cursando,7.9921696969000005,7.51,9.318181818,CURSANDO
RA-672,672,2024,1,Cursando,4.2118138341,6.26,3.9525691700000003,CURSANDO
RA-1043,1043,2024,1,Cursando,7.539847562500002,7.51,7.994071146,CURSANDO
RA-738,738,2024,1,Cursando,7.2626980238000005,6.885,7.292490119,CURSANDO
RA-1419,1419,2024,1,Cursando,8.7536999999,7.51,10.0,CURSANDO
RA-704,704,2024,1,Cursando,6.8121156785000005,5.635,8.646245059,CURSANDO
RA-705,705,2024,1,Cursando,5.294247619100001,5.005,6.4285714285,CURSANDO
RA-822,822,2024,1,Cursando,5.2645678524,5.01,4.6245059285,CURSANDO
RA-740,740,2024,1,Cursando,8.1611005269,7.51,9.555335968,CURSANDO
RA-741,741,2024,1,Cursando,5.0795885374,5.005,5.2964426875,CURSANDO
RA-1420,1420,2024,1,Cursando,5.6558,6.26,5.520833333500001,CURSANDO
RA-709,709,2024,1,Cursando,6.833780895800001,7.51,7.994071146,CURSANDO
RA-1421,1421,2024,1,Cursando,7.126922222200001,7.51,6.777777778,CURSANDO
RA-1422,1422,2024,1,Cursando,7.0132,7.51,7.5,CURSANDO
RA-1423,1423,2024,1,Cursando,6.403450000000001,7.51,5.3125,CURSANDO
RA-733,733,2024,1,Cursando,8.808825,7.51,10.0,CURSANDO
RA-836,836,2024,1,Cursando,6.0234537878,7.51,6.439393939,CURSANDO
RA-1424,1424,2024,1,Cursando,7.5543388889,7.51,8.9444444445,CURSANDO
RA-1425,1425,2024,1,Cursando,6.8290988095000005,7.51,6.7976190475,CURSANDO
RA-1426,1426,2024,1,Cursando,5.8367476190000005,7.51,5.845238095,CURSANDO
RA-716,716,2024,1,Cursando,6.2372943675000005,7.51,5.5335968375,CURSANDO
RA-1049,1049,2024,1,Cursando,6.821885606,7.51,8.03030303,CURSANDO
RA-1427,1427,2024,1,Cursando,8.425325,7.51,10.0,CURSANDO
RA-1052,1052,2024,1,Cursando,7.744032575800001,6.26,9.128787879,CURSANDO
RA-719,719,2024,1,Cursando,7.1193969697,7.51,7.3484848485,CURSANDO
RA-1055,1055,2024,1,Cursando,6.403040909100001,7.51,5.7954545455,CURSANDO
RA-747,747,2024,1,Cursando,5.8450809523,5.005,8.095238095,CURSANDO
RA-928,928,2024,1,Cursando,8.8733666667,7.51,10.0,CURSANDO
RA-748,748,2024,1,Cursando,8.2272,7.51,10.0,CURSANDO
RA-769,769,2024,1,Cursando,7.099342857200002,7.51,5.9523809525,CURSANDO
RA-876,876,2024,1,Cursando,7.612057142800001,7.51,9.0476190475,CURSANDO
RA-776,776,2024,1,Cursando,5.178509523800001,5.63,5.9523809525,CURSANDO
RA-753,753,2024,1,Cursando,8.2450571429,7.51,9.047619048,CURSANDO
RA-601,601,2024,1,Cursando,8.5107,7.505,10.0,CURSANDO
RA-955,955,2024,1,Cursando,6.245452381,7.51,6.904761905,CURSANDO
RA-831,831,2024,1,Cursando,8.0066285715,6.26,9.523809524,CURSANDO
RA-1067,1067,2024,1,Cursando,7.840033333300001,7.51,8.333333332999999,CURSANDO
RA-1058,1058,2024,1,Cursando,7.703347619,6.88,8.095238095,CURSANDO
RA-757,757,2024,1,Cursando,7.938842857200001,7.51,9.285714286000001,CURSANDO
RA-794,794,2024,1,Cursando,7.145652380900001,7.51,6.9047619045,CURSANDO
RA-960,960,2024,1,Cursando,5.286047619,7.51,8.095238095,CURSANDO
RA-587,587,2024,1,Cursando,6.817057142900001,7.51,7.380952381,CURSANDO
RA-826,826,2024,1,Cursando,7.9442,6.26,10.0,CURSANDO
RA-789,789,2024,1,Cursando,8.0443904763,7.51,9.047619048,CURSANDO
RA-1056,1056,2024,1,Cursando,8.192009523800001,7.51,9.2857142855,CURSANDO
RA-1428,1428,2024,1,Cursando,8.006108496800001,7.51,8.8562091505,CURSANDO
RA-830,830,2024,1,Cursando,7.1373428571,5.63,7.619047619,CURSANDO
RA-780,780,2024,1,Cursando,7.7430333333,5.63,10.0,CURSANDO
RA-1057,1057,2024,1,Cursando,8.2352,6.26,10.0,CURSANDO
RA-1062,1062,2024,1,Cursando,7.6147238096,5.63,9.047619048,CURSANDO
RA-1429,1429,2024,1,Cursando,8.041811111100001,7.51,8.888888889,CURSANDO
RA-1430,1430,2024,1,Cursando,7.864033333300001,7.51,10.0,CURSANDO
RA-767,767,2024,1,Cursando,8.131890476200002,7.51,9.0476190475,CURSANDO
RA-943,943,2024,1,Cursando,8.965033333300001,7.51,10.0,CURSANDO
RA-782,782,2024,1,Cursando,8.1896285714,7.51,7.8571428569999995,CURSANDO
RA-795,795,2024,1,Cursando,8.441414285700002,6.26,9.761904762,CURSANDO
RA-1431,1431,2024,1,Cursando,7.9147292443,7.51,7.7432712215,CURSANDO
