RA,ra_num,ano_base,Fase_num,IAN,IPP
RA-260,260,2023,3,10.0,7.34375
RA-390,390,2023,3,10.0,7.34375
RA-1158,1158,2023,3,5.0,7.5
RA-391,391,2023,3,10.0,7.5
RA-1159,1159,2023,3,10.0,7.1875
RA-392,392,2023,3,5.0,6.09375
RA-1160,1160,2023,3,10.0,6.875
RA-1161,1161,2023,3,10.0,8.28125
RA-395,395,2023,3,10.0,7.96875
RA-450,450,2023,3,5.0,7.65625
RA-463,463,2023,3,10.0,7.8125
RA-298,298,2023,3,5.0,7.5
RA-464,464,2023,3,5.0,7.96875
RA-465,465,2023,3,10.0,7.96875
RA-442,442,2023,3,10.0,7.5
RA-300,300,2023,3,5.0,6.40625
RA-467,467,2023,3,5.0,7.1875
RA-468,468,2023,3,5.0,7.34375
RA-1162,1162,2023,3,10.0,7.8125
RA-470,470,2023,3,5.0,7.5
RA-474,474,2023,3,5.0,7.1875
RA-476,476,2023,3,10.0,7.34375
RA-478,478,2023,3,10.0,7.1875
RA-410,410,2023,3,5.0,6.71875
RA-411,411,2023,3,10.0,7.8125
RA-412,412,2023,3,10.0,7.03125
RA-400,400,2023,3,5.0,7.65625
RA-414,414,2023,3,10.0,7.8125
RA-415,415,2023,3,10.0,7.8125
RA-1163,1163,2023,3,5.0,7.65625
RA-273,273,2023,3,5.0,7.8125
RA-471,471,2023,3,10.0,7.96875
RA-416,416,2023,3,10.0,8.28125
RA-417,417,2023,3,10.0,8.28125
RA-305,305,2023,3,5.0,7.65625
RA-418,418,2023,3,10.0,8.125
RA-419,419,2023,3,10.0,8.125
RA-421,421,2023,3,10.0,7.8125
RA-407,407,2023,3,5.0,7.8125
RA-425,425,2023,3,10.0,7.8125
RA-426,426,2023,3,5.0,7.65625
RA-430,430,2023,3,5.0,7.8125
RA-1164,1164,2023,3,10.0,7.65625
RA-1165,1165,2023,3,10.0,7.1875
RA-432,432,2023,3,5.0,7.8125
RA-303,303,2023,3,5.0,7.65625
RA-420,420,2023,3,10.0,7.65625
RA-1166,1166,2023,3,5.0,7.65625
RA-1167,1167,2023,3,2.5,7.65625
RA-424,424,2023,3,10.0,7.8125
RA-398,398,2023,3,10.0,7.5
RA-399,399,2023,3,10.0,7.5
RA-428,428,2023,3,10.0,7.8125
RA-315,315,2023,3,5.0,7.96875
RA-402,402,2023,3,10.0,7.8125
RA-1168,1168,2023,3,10.0,7.65625
RA-613,613,2023,3,5.0,6.71875
RA-304,304,2023,3,5.0,7.8125
RA-457,457,2023,3,10.0,8.125
RA-307,307,2023,3,5.0,7.5
RA-283,283,2023,3,5.0,7.03125
RA-459,459,2023,3,10.0,7.1875
RA-440,440,2023,3,10.0,7.96875
RA-443,443,2023,3,5.0,7.96875
RA-454,454,2023,3,5.0,4.6875
RA-444,444,2023,3,10.0,6.40625
RA-170,170,2023,3,5.0,6.875
RA-1169,1169,2023,3,5.0,7.03125
RA-458,458,2023,3,5.0,7.1875
RA-1170,1170,2023,3,5.0,7.1875
RA-1171,1171,2023,3,5.0,8.75
RA-449,449,2023,3,10.0,7.34375
RA-462,462,2023,3,5.0,7.5
RA-176,176,2023,4,10.0,8.125
RA-178,178,2023,4,10.0,7.65625
RA-193,193,2023,4,10.0,8.125
RA-1172,1172,2023,4,5.0,8.59375
RA-180,180,2023,4,10.0,8.4375
RA-181,181,2023,4,10.0,7.96875
RA-195,195,2023,4,10.0,8.4375
RA-196,196,2023,4,10.0,8.28125
RA-211,211,2023,4,10.0,7.65625
RA-197,197,2023,4,10.0,7.96875
RA-229,229,2023,4,10.0,8.28125
RA-186,186,2023,4,10.0,7.96875
RA-189,189,2023,4,10.0,8.28125
RA-191,191,2023,4,10.0,8.125
RA-1173,1173,2023,4,10.0,7.8125
RA-217,217,2023,4,5.0,8.4375
RA-1174,1174,2023,4,5.0,8.90625
RA-192,192,2023,4,5.0,7.1875
RA-184,184,2023,4,10.0,8.59375
RA-200,200,2023,4,5.0,7.5
RA-1175,1175,2023,4,2.5,7.65625
RA-204,204,2023,4,10.0,8.28125
RA-1176,1176,2023,4,10.0,9.6875
RA-1177,1177,2023,4,10.0,8.90625
RA-215,215,2023,4,10.0,7.96875
RA-1178,1178,2023,4,5.0,7.96875
RA-149,149,2023,4,5.0,7.5
RA-1179,1179,2023,4,5.0,6.875
RA-218,218,2023,4,5.0,7.96875
RA-220,220,2023,4,10.0,7.1875
RA-202,202,2023,4,5.0,7.96875
RA-1180,1180,2023,4,5.0,7.1875
RA-1181,1181,2023,4,10.0,7.5
RA-1182,1182,2023,4,5.0,6.71875
RA-205,205,2023,4,5.0,7.03125
RA-1183,1183,2023,4,5.0,6.09375
RA-237,237,2023,4,5.0,8.125
RA-147,147,2023,4,5.0,6.875
RA-240,240,2023,4,10.0,6.875
RA-1184,1184,2023,4,5.0,8.125
RA-241,241,2023,4,5.0,8.75
RA-242,242,2023,4,10.0,8.59375
RA-138,138,2023,4,5.0,7.34375
RA-244,244,2023,4,10.0,8.125
RA-245,245,2023,4,5.0,8.75
RA-246,246,2023,4,10.0,8.125
RA-141,141,2023,4,5.0,7.03125
RA-239,239,2023,4,5.0,8.125
RA-1185,1185,2023,4,10.0,7.8125
RA-262,262,2023,4,5.0,7.03125
RA-1186,1186,2023,4,5.0,6.875
RA-397,397,2023,4,5.0,7.1875
RA-1187,1187,2023,4,10.0,7.34375
RA-145,145,2023,4,2.5,7.96875
RA-1188,1188,2023,4,5.0,7.8125
RA-265,265,2023,4,10.0,7.96875
RA-254,254,2023,4,5.0,7.8125
RA-267,267,2023,4,5.0,4.6875
RA-1189,1189,2023,4,5.0,7.8125
RA-295,295,2023,4,5.0,9.0625
RA-269,269,2023,4,10.0,8.59375
RA-313,313,2023,4,10.0,7.65625
RA-1190,1190,2023,4,10.0,7.34375
RA-301,301,2023,4,10.0,6.71875
RA-286,286,2023,4,5.0,8.125
RA-1191,1191,2023,4,10.0,5.0
RA-1192,1192,2023,4,5.0,7.96875
RA-174,174,2023,4,5.0,7.5
RA-1193,1193,2023,4,10.0,7.1875
RA-308,308,2023,4,10.0,7.03125
RA-152,152,2023,4,5.0,7.8125
RA-270,270,2023,4,10.0,8.75
RA-271,271,2023,4,5.0,8.125
RA-299,299,2023,4,10.0,7.96875
RA-316,316,2023,4,10.0,8.59375
RA-318,318,2023,4,5.0,7.96875
RA-274,274,2023,4,10.0,7.65625
RA-320,320,2023,4,10.0,8.59375
RA-277,277,2023,4,5.0,8.125
RA-278,278,2023,4,10.0,8.75
RA-291,291,2023,4,10.0,8.90625
RA-306,306,2023,4,5.0,7.34375
RA-279,279,2023,4,10.0,8.75
RA-280,280,2023,4,10.0,8.28125
RA-276,276,2023,4,10.0,7.03125
RA-285,285,2023,4,2.5,7.65625
RA-1194,1194,2023,4,10.0,7.5
RA-287,287,2023,4,2.5,4.21875
RA-319,319,2023,4,10.0,8.59375
RA-321,321,2023,4,10.0,8.125
RA-1195,1195,2023,4,2.5,8.28125
RA-159,159,2023,4,5.0,8.125
RA-322,322,2023,4,10.0,7.96875
RA-251,251,2023,4,5.0,7.34375
RA-116,116,2023,5,5.0,7.96875
RA-103,103,2023,5,10.0,8.125
RA-42,42,2023,5,5.0,6.5625
RA-121,121,2023,5,5.0,7.34375
RA-106,106,2023,5,10.0,7.03125
RA-123,123,2023,5,5.0,6.875
RA-46,46,2023,5,2.5,6.5625
RA-125,125,2023,5,5.0,8.125
RA-110,110,2023,5,10.0,8.75
RA-128,128,2023,5,5.0,7.34375
RA-143,143,2023,5,10.0,8.28125
RA-111,111,2023,5,10.0,7.65625
RA-112,112,2023,5,5.0,7.96875
RA-115,115,2023,5,5.0,7.34375
RA-1196,1196,2023,5,10.0,7.8125
RA-52,52,2023,5,10.0,8.125
RA-1197,1197,2023,5,5.0,7.03125
RA-108,108,2023,5,5.0,4.375
RA-1198,1198,2023,5,5.0,7.5
RA-127,127,2023,5,10.0,8.4375
RA-114,114,2023,5,5.0,7.5
RA-146,146,2023,5,5.0,8.4375
RA-1199,1199,2023,5,5.0,6.875
RA-70,70,2023,5,5.0,7.5
RA-107,107,2023,5,10.0,7.34375
RA-1200,1200,2023,5,10.0,7.5
RA-151,151,2023,5,5.0,8.59375
RA-85,85,2023,5,5.0,5.9375
RA-1201,1201,2023,5,10.0,8.59375
RA-131,131,2023,5,5.0,7.65625
RA-132,132,2023,5,10.0,7.65625
RA-133,133,2023,5,5.0,7.1875
RA-104,104,2023,5,2.5,5.625
RA-137,137,2023,5,5.0,6.40625
RA-144,144,2023,5,10.0,6.25
RA-1202,1202,2023,5,5.0,7.34375
RA-90,90,2023,5,10.0,8.59375
RA-167,167,2023,5,5.0,7.96875
RA-168,168,2023,5,10.0,6.5625
RA-1203,1203,2023,5,5.0,7.96875
RA-155,155,2023,5,5.0,7.03125
RA-94,94,2023,5,5.0,8.75
RA-81,81,2023,5,10.0,7.8125
RA-302,302,2023,5,5.0,7.5
RA-171,171,2023,5,5.0,7.1875
RA-160,160,2023,5,5.0,8.125
RA-1204,1204,2023,5,5.0,7.8125
RA-1205,1205,2023,5,2.5,7.5
RA-173,173,2023,5,5.0,8.125
RA-166,166,2023,5,10.0,8.4375
RA-175,175,2023,5,5.0,7.1875
RA-153,153,2023,5,10.0,8.125
RA-1206,1206,2023,5,5.0,7.8125
RA-157,157,2023,5,10.0,8.59375
RA-1207,1207,2023,5,10.0,7.8125
RA-1208,1208,2023,5,10.0,6.875
RA-1209,1209,2023,5,5.0,7.8125
RA-158,158,2023,5,10.0,8.28125
RA-161,161,2023,5,10.0,8.125
RA-164,164,2023,5,5.0,6.875
RA-1210,1210,2023,5,5.0,7.8125
RA-165,165,2023,5,10.0,8.125
RA-1211,1211,2023,5,5.0,7.8125
RA-1212,1212,2023,5,5.0,7.65625
RA-1213,1213,2023,5,5.0,7.8125
RA-40,40,2023,6,5.0,7.96875
RA-1214,1214,2023,6,10.0,7.5
RA-71,71,2023,6,5.0,7.5
RA-53,53,2023,6,5.0,7.5
RA-43,43,2023,6,5.0,7.5
RA-55,55,2023,6,5.0,7.5
RA-44,44,2023,6,5.0,7.5
RA-1215,1215,2023,6,10.0,7.5
RA-45,45,2023,6,10.0,8.28125
RA-56,56,2023,6,10.0,8.125
RA-57,57,2023,6,5.0,7.96875
RA-58,58,2023,6,10.0,8.4375
RA-59,59,2023,6,5.0,8.28125
RA-1216,1216,2023,6,5.0,7.5
RA-78,78,2023,6,5.0,8.28125
RA-79,79,2023,6,5.0,7.8125
RA-61,61,2023,6,10.0,7.96875
RA-63,63,2023,6,5.0,8.75
RA-64,64,2023,6,5.0,7.34375
RA-48,48,2023,6,10.0,7.65625
RA-109,109,2023,6,5.0,8.75
RA-80,80,2023,6,5.0,7.96875
RA-91,91,2023,6,5.0,7.8125
RA-1217,1217,2023,6,5.0,7.65625
RA-92,92,2023,6,5.0,7.1875
RA-96,96,2023,6,5.0,7.65625
RA-1218,1218,2023,6,5.0,7.5
RA-1219,1219,2023,6,10.0,7.34375
RA-1220,1220,2023,6,5.0,7.8125
RA-84,84,2023,6,5.0,7.8125
RA-99,99,2023,6,5.0,7.8125
RA-87,87,2023,6,10.0,8.125
RA-89,89,2023,6,5.0,7.34375
RA-1221,1221,2023,7,5.0,8.0
RA-27,27,2023,7,10.0,8.625
RA-1222,1222,2023,7,5.0,6.875
RA-32,32,2023,7,10.0,7.375
RA-19,19,2023,7,5.0,7.75
RA-62,62,2023,7,10.0,8.25
RA-1223,1223,2023,7,10.0,6.875
RA-38,38,2023,7,10.0,8.75
RA-1224,1224,2023,7,5.0,7.125
RA-39,39,2023,7,10.0,8.75
RA-1275,1275,2024,,10.0,5.625
RA-1276,1276,2024,,10.0,7.5
RA-1277,1277,2024,,10.0,7.5
RA-868,868,2024,,5.0,6.875
RA-1278,1278,2024,,5.0,5.0
RA-1279,1279,2024,,5.0,7.5
RA-861,861,2024,,5.0,8.125
RA-862,862,2024,,5.0,7.1875
RA-1280,1280,2024,,5.0,7.5
RA-1281,1281,2024,,5.0,7.5
RA-895,895,2024,,5.0,7.5
RA-884,884,2024,,5.0,7.5
RA-1282,1282,2024,,5.0,7.5
RA-889,889,2024,,5.0,7.5
RA-867,867,2024,,5.0,7.5
RA-1283,1283,2024,,5.0,7.5
RA-891,891,2024,,5.0,7.5
RA-1284,1284,2024,,10.0,7.8125
RA-1012,1012,2024,,5.0,8.125
RA-1285,1285,2024,,10.0,7.5
RA-1286,1286,2024,,10.0,5.3125
RA-1287,1287,2024,,5.0,8.125
RA-1288,1288,2024,,10.0,7.1875
RA-1289,1289,2024,,5.0,5.9375
RA-1290,1290,2024,,5.0,7.5
RA-1291,1291,2024,,5.0,7.5
RA-885,885,2024,,5.0,7.5
RA-1292,1292,2024,,5.0,7.1875
RA-1293,1293,2024,,5.0,6.875
RA-888,888,2024,,5.0,7.5
RA-1294,1294,2024,,5.0,6.875
RA-1009,1009,2024,,5.0,6.5625
RA-1013,1013,2024,,5.0,5.0
RA-1295,1295,2024,,10.0,7.5
RA-1296,1296,2024,,5.0,7.5
RA-863,863,2024,,5.0,4.6875
RA-1297,1297,2024,,5.0,7.5
RA-1014,1014,2024,,5.0,6.875
RA-880,880,2024,,5.0,7.1875
RA-886,886,2024,,5.0,7.5
RA-1298,1298,2024,,10.0,7.1875
RA-1299,1299,2024,,5.0,7.1875
RA-904,904,2024,,5.0,7.5
RA-1300,1300,2024,,5.0,7.5
RA-1301,1301,2024,,5.0,7.5
RA-1302,1302,2024,,10.0,6.25
RA-1303,1303,2024,,10.0,7.5
RA-1304,1304,2024,,5.0,7.8125
RA-1305,1305,2024,,5.0,7.8125
RA-1306,1306,2024,,5.0,7.5
RA-702,702,2024,,5.0,7.8125
RA-725,725,2024,,5.0,7.5
RA-912,912,2024,,5.0,8.125
RA-918,918,2024,,5.0,5.9375
RA-920,920,2024,,5.0,7.1875
RA-1307,1307,2024,,10.0,6.25
RA-1308,1308,2024,,5.0,7.5
RA-1309,1309,2024,,10.0,7.5
RA-1310,1310,2024,,10.0,7.8125
RA-1311,1311,2024,,10.0,7.5
RA-1312,1312,2024,,5.0,6.25
RA-1313,1313,2024,,10.0,7.5
RA-1314,1314,2024,,10.0,7.5
RA-1315,1315,2024,,10.0,7.5
RA-921,921,2024,,5.0,7.5
RA-1316,1316,2024,,5.0,7.5
RA-1317,1317,2024,,5.0,7.5
RA-897,897,2024,,5.0,6.875
RA-908,908,2024,,5.0,7.1875
RA-916,916,2024,,5.0,6.5625
RA-924,924,2024,,5.0,7.1875
RA-925,925,2024,,5.0,7.1875
RA-1008,1008,2024,,5.0,7.1875
RA-919,919,2024,,5.0,6.875
RA-1318,1318,2024,,5.0,7.1875
RA-1003,1003,2024,,5.0,6.875
RA-1004,1004,2024,,5.0,7.5
RA-1006,1006,2024,,5.0,7.5
RA-1319,1319,2024,,5.0,7.5
RA-858,858,2024,,5.0,7.5
RA-905,905,2024,,5.0,6.875
RA-907,907,2024,,5.0,7.5
RA-1320,1320,2024,,5.0,7.5
RA-909,909,2024,,5.0,6.875
RA-729,729,2024,,5.0,7.5
RA-1321,1321,2024,,10.0,6.5625
RA-1322,1322,2024,,10.0,8.4375
RA-1323,1323,2024,,5.0,6.875
RA-1324,1324,2024,,5.0,7.8125
RA-931,931,2024,,5.0,7.5
RA-1325,1325,2024,,10.0,8.4375
RA-1326,1326,2024,,10.0,7.8125
RA-1327,1327,2024,,10.0,7.8125
RA-1328,1328,2024,,5.0,7.5
RA-1329,1329,2024,,10.0,6.5625
RA-1330,1330,2024,,10.0,8.4375
RA-1331,1331,2024,,10.0,8.4375
RA-944,944,2024,,5.0,8.75
RA-1332,1332,2024,,5.0,9.375
RA-754,754,2024,,5.0,2.5
RA-1333,1333,2024,,5.0,9.375
RA-934,934,2024,,5.0,9.375
RA-1334,1334,2024,,5.0,9.375
RA-941,941,2024,,5.0,8.125
RA-756,756,2024,,5.0,8.125
RA-1335,1335,2024,,5.0,9.375
RA-773,773,2024,,5.0,7.5
RA-938,938,2024,,5.0,8.125
RA-1336,1336,2024,,5.0,7.5
RA-1337,1337,2024,,5.0,6.875
RA-1338,1338,2024,,5.0,6.875
RA-1339,1339,2024,,5.0,5.0
RA-1340,1340,2024,,10.0,5.625
RA-1341,1341,2024,,5.0,5.625
RA-947,947,2024,,5.0,5.625
RA-1342,1342,2024,,5.0,7.5
RA-1343,1343,2024,,10.0,6.25
RA-1344,1344,2024,,10.0,8.75
RA-945,945,2024,,5.0,7.5
RA-946,946,2024,,5.0,7.5
RA-1345,1345,2024,,5.0,6.25
RA-771,771,2024,,5.0,5.625
RA-1346,1346,2024,,10.0,6.25
RA-1347,1347,2024,,5.0,5.625
RA-949,949,2024,,5.0,6.25
RA-950,950,2024,,5.0,6.875
RA-951,951,2024,,5.0,6.25
RA-1002,1002,2024,,5.0,7.5
RA-774,774,2024,,5.0,6.25
RA-749,749,2024,,5.0,8.4375
RA-929,929,2024,,5.0,8.125
RA-930,930,2024,,5.0,7.8125
RA-787,787,2024,,5.0,7.1875
RA-1348,1348,2024,,5.0,8.75
RA-935,935,2024,,5.0,8.75
RA-1349,1349,2024,,5.0,8.4375
RA-937,937,2024,,5.0,8.75
RA-1350,1350,2024,,5.0,8.4375
RA-1351,1351,2024,,5.0,8.4375
RA-959,959,2024,,5.0,7.8125
RA-1352,1352,2024,,5.0,8.4375
RA-1353,1353,2024,,5.0,6.875
RA-1354,1354,2024,,5.0,8.125
RA-979,979,2024,,5.0,8.125
RA-1355,1355,2024,,5.0,8.125
RA-971,971,2024,,5.0,7.5
RA-972,972,2024,,5.0,8.75
RA-965,965,2024,,5.0,8.75
RA-973,973,2024,,5.0,7.5
RA-1356,1356,2024,,10.0,8.125
RA-966,966,2024,,5.0,8.125
RA-1357,1357,2024,,5.0,8.125
RA-969,969,2024,,5.0,8.125
RA-1358,1358,2024,,10.0,6.25
RA-1359,1359,2024,,10.0,5.625
RA-1360,1360,2024,,10.0,5.625
RA-1361,1361,2024,,10.0,7.5
RA-975,975,2024,,5.0,6.875
RA-1362,1362,2024,,10.0,6.875
RA-977,977,2024,,5.0,6.875
RA-1363,1363,2024,,10.0,6.875
RA-981,981,2024,,5.0,6.25
RA-1364,1364,2024,,5.0,6.875
RA-1365,1365,2024,,5.0,6.875
RA-1366,1366,2024,,5.0,7.5
RA-974,974,2024,,5.0,7.5
RA-1367,1367,2024,,10.0,7.5
RA-1368,1368,2024,,10.0,7.5
RA-1369,1369,2024,,10.0,7.5
RA-978,978,2024,,5.0,6.875
RA-1370,1370,2024,,5.0,7.5
RA-1371,1371,2024,,5.0,6.875
RA-1372,1372,2024,,10.0,7.5
RA-1373,1373,2024,,5.0,7.5
RA-1374,1374,2024,,5.0,7.5
RA-1375,1375,2024,,5.0,7.5
RA-1376,1376,2024,,5.0,7.5
RA-994,994,2024,,5.0,6.875
RA-1377,1377,2024,,10.0,6.875
RA-1378,1378,2024,,5.0,7.5
RA-1379,1379,2024,,5.0,5.9375
RA-1380,1380,2024,,10.0,7.1875
RA-770,770,2024,,5.0,7.5
RA-1381,1381,2024,,10.0,8.75
RA-1382,1382,2024,,5.0,7.8125
RA-1383,1383,2024,,10.0,7.1875
RA-1384,1384,2024,,5.0,6.25
RA-1385,1385,2024,,5.0,6.875
RA-1386,1386,2024,,5.0,7.5
RA-1387,1387,2024,,5.0,7.5
RA-1388,1388,2024,,5.0,7.5
RA-1389,1389,2024,,10.0,7.5
RA-1390,1390,2024,,10.0,7.5
RA-1391,1391,2024,,10.0,7.5
RA-1392,1392,2024,,5.0,7.5
RA-1393,1393,2024,,10.0,7.5
RA-990,990,2024,1,5.0,8.4375
RA-1394,1394,2024,1,5.0,8.125
RA-991,991,2024,1,5.0,7.5
RA-1018,1018,2024,1,5.0,8.4375
RA-1395,1395,2024,1,10.0,7.8125
RA-1396,1396,2024,1,5.0,8.125
RA-1025,1025,2024,1,5.0,8.4375
RA-1019,1019,2024,1,10.0,7.8125
RA-879,879,2024,1,5.0,7.8125
RA-1020,1020,2024,1,10.0,8.4375
RA-1021,1021,2024,1,5.0,8.4375
RA-1022,1022,2024,1,5.0,7.5
RA-1397,1397,2024,1,5.0,8.125
RA-699,699,2024,1,5.0,6.5625
RA-1398,1398,2024,1,5.0,8.125
RA-871,871,2024,1,10.0,5.3125
RA-1399,1399,2024,1,5.0,7.5
RA-873,873,2024,1,5.0,7.1875
RA-898,898,2024,1,5.0,7.5
RA-750,750,2024,1,5.0,4.0625
RA-899,899,2024,1,10.0,8.125
RA-878,878,2024,1,5.0,7.1875
RA-893,893,2024,1,10.0,8.125
RA-1024,1024,2024,1,5.0,8.4375
RA-900,900,2024,1,10.0,8.125
RA-903,903,2024,1,10.0,7.8125
RA-1400,1400,2024,1,10.0,7.5
RA-851,851,2024,1,5.0,5.625
RA-1028,1028,2024,1,5.0,6.875
RA-922,922,2024,1,10.0,7.8125
RA-684,684,2024,1,10.0,7.5
RA-1031,1031,2024,1,5.0,5.3125
RA-892,892,2024,1,10.0,8.125
RA-1029,1029,2024,1,5.0,7.5
RA-1032,1032,2024,1,5.0,7.8125
RA-894,894,2024,1,5.0,8.4375
RA-1401,1401,2024,1,5.0,7.8125
RA-896,896,2024,1,10.0,8.125
RA-693,693,2024,1,10.0,7.8125
RA-743,743,2024,1,5.0,7.5
RA-681,681,2024,1,5.0,5.625
RA-1035,1035,2024,1,5.0,8.4375
RA-850,850,2024,1,5.0,7.5
RA-1402,1402,2024,1,10.0,8.4375
RA-1403,1403,2024,1,5.0,8.4375
RA-1404,1404,2024,1,10.0,8.4375
RA-923,923,2024,1,10.0,8.125
RA-847,847,2024,1,5.0,7.5
RA-1405,1405,2024,1,10.0,8.125
RA-1406,1406,2024,1,5.0,8.4375
RA-1407,1407,2024,1,5.0,7.8125
RA-1408,1408,2024,1,5.0,8.4375
RA-1409,1409,2024,1,5.0,8.4375
RA-1410,1410,2024,1,5.0,8.75
RA-874,874,2024,1,5.0,8.75
RA-1411,1411,2024,1,5.0,8.4375
RA-1412,1412,2024,1,10.0,8.75
RA-690,690,2024,1,5.0,8.4375
RA-1413,1413,2024,1,5.0,8.4375
RA-1414,1414,2024,1,10.0,8.75
RA-995,995,2024,1,5.0,7.1875
RA-853,853,2024,1,10.0,8.333333333
RA-854,854,2024,1,10.0,5.833333333
RA-1415,1415,2024,1,5.0,7.291666667
RA-842,842,2024,1,5.0,6.875
RA-700,700,2024,1,5.0,7.291666667
RA-1416,1416,2024,1,5.0,7.916666667
RA-911,911,2024,1,5.0,6.041666667
RA-859,859,2024,1,10.0,8.958333333
RA-860,860,2024,1,10.0,8.75
RA-727,727,2024,1,10.0,8.125
RA-1417,1417,2024,1,5.0,6.25
RA-910,910,2024,1,10.0,7.916666667
RA-840,840,2024,1,10.0,8.333333333
RA-926,926,2024,1,5.0,8.333333333
RA-1418,1418,2024,1,5.0,7.916666667
RA-927,927,2024,1,10.0,8.333333333
RA-672,672,2024,1,5.0,6.041666667
RA-1043,1043,2024,1,5.0,7.291666667
RA-738,738,2024,1,5.0,6.875
RA-1419,1419,2024,1,10.0,8.958333333
RA-704,704,2024,1,5.0,6.458333333
RA-705,705,2024,1,5.0,5.625
RA-822,822,2024,1,5.0,6.666666667
RA-740,740,2024,1,5.0,8.541666667
RA-741,741,2024,1,5.0,5.833333333
RA-1420,1420,2024,1,5.0,6.458333333
RA-709,709,2024,1,5.0,6.875
RA-1421,1421,2024,1,5.0,6.875
RA-1422,1422,2024,1,5.0,8.125
RA-1423,1423,2024,1,5.0,7.8125
RA-733,733,2024,1,5.0,8.90625
RA-836,836,2024,1,5.0,7.34375
RA-1424,1424,2024,1,5.0,7.8125
RA-1425,1425,2024,1,5.0,7.34375
RA-1426,1426,2024,1,5.0,7.5
RA-716,716,2024,1,5.0,6.71875
RA-1049,1049,2024,1,5.0,7.65625
RA-1427,1427,2024,1,5.0,8.90625
RA-1052,1052,2024,1,5.0,8.59375
RA-719,719,2024,1,5.0,7.5
RA-1055,1055,2024,1,5.0,7.1875
RA-747,747,2024,1,5.0,7.083333333
RA-928,928,2024,1,10.0,8.541666667
RA-748,748,2024,1,5.0,8.75
RA-769,769,2024,1,5.0,7.916666667
RA-876,876,2024,1,10.0,8.333333333
RA-776,776,2024,1,5.0,8.333333333
RA-753,753,2024,1,5.0,8.333333333
RA-601,601,2024,1,5.0,8.75
RA-955,955,2024,1,5.0,8.125
RA-831,831,2024,1,5.0,7.916666667
RA-1067,1067,2024,1,5.0,8.541666667
RA-1058,1058,2024,1,5.0,8.125
RA-757,757,2024,1,5.0,8.125
RA-794,794,2024,1,10.0,8.125
RA-960,960,2024,1,5.0,7.5
RA-587,587,2024,1,5.0,7.916666667
RA-826,826,2024,1,5.0,7.5
RA-789,789,2024,1,10.0,9.166666667
RA-1056,1056,2024,1,5.0,9.166666667
RA-1428,1428,2024,1,5.0,9.166666667
RA-830,830,2024,1,5.0,8.333333333
RA-780,780,2024,1,5.0,8.958333333
RA-1057,1057,2024,1,5.0,8.75
RA-1062,1062,2024,1,5.0,8.75
RA-1429,1429,2024,1,5.0,8.958333333
RA-1430,1430,2024,1,5.0,8.958333333
RA-767,767,2024,1,5.0,8.541666667
RA-943,943,2024,1,10.0,8.958333333
RA-782,782,2024,1,10.0,7.5
RA-795,795,2024,1,5.0,8.958333333
RA-1431,1431,2024,1,5.0,7.96875
RA-1432,1432,2024,1,5.0,9.21875
RA-1433,1433,2024,1,5.0,8.28125
RA-1434,1434,2024,1,5.0,9.53125
RA-958,958,2024,1,10.0,9.53125
RA-961,961,2024,1,5.0,5.9375
RA-1435,1435,2024,1,10.0,7.1875
RA-755,755,2024,1,5.0,9.0625
RA-1436,1436,2024,1,5.0,8.28125
RA-1437,1437,2024,1,5.0,8.28125
RA-1438,1438,2024,1,5.0,8.90625
RA-1439,1439,2024,1,5.0,9.375
RA-1440,1440,2024,1,5.0,8.75
RA-1441,1441,2024,1,10.0,9.375
RA-1442,1442,2024,1,5.0,7.5
RA-1443,1443,2024,1,5.0,7.708333333
RA-1444,1444,2024,1,5.0,7.708333333
RA-956,956,2024,1,5.0,7.083333333
RA-952,952,2024,1,10.0,8.333333333
RA-939,939,2024,1,5.0,8.125
RA-953,953,2024,1,10.0,8.125
RA-954,954,2024,1,10.0,8.125
RA-792,792,2024,1,5.0,8.125
RA-1000,1000,2024,1,10.0,8.125
RA-763,763,2024,1,5.0,7.708333333
RA-1001,1001,2024,1,5.0,7.916666667
RA-1445,1445,2024,1,5.0,7.916666667
RA-1446,1446,2024,1,10.0,7.291666667
RA-768,768,2024,1,5.0,8.125
RA-1447,1447,2024,1,5.0,7.916666667
RA-980,980,2024,1,10.0,7.5
RA-982,982,2024,1,10.0,6.875
RA-1448,1448,2024,1,5.0,7.5
RA-1070,1070,2024,1,5.0,6.875
RA-985,985,2024,1,10.0,7.5
RA-986,986,2024,1,10.0,7.083333333
RA-810,810,2024,1,5.0,6.458333333
RA-987,987,2024,1,10.0,7.708333333
RA-988,988,2024,1,5.0,8.333333333
RA-805,805,2024,1,5.0,7.03125
RA-806,806,2024,1,5.0,7.65625
RA-807,807,2024,1,10.0,7.5
RA-808,808,2024,1,10.0,8.125
RA-963,963,2024,1,10.0,8.125
RA-989,989,2024,1,10.0,7.1875
RA-964,964,2024,1,5.0,7.96875
RA-1449,1449,2024,1,5.0,7.96875
RA-801,801,2024,1,5.0,6.25
RA-1450,1450,2024,1,10.0,7.8125
RA-984,984,2024,1,10.0,8.125
RA-1451,1451,2024,1,5.0,7.96875
RA-967,967,2024,1,5.0,5.78125
RA-968,968,2024,1,5.0,8.4375
RA-521,521,2024,2,10.0,6.666666667
RA-821,821,2024,2,10.0,6.666666667
RA-1075,1075,2024,2,5.0,7.708333333
RA-1048,1048,2024,2,10.0,7.708333333
