RA,ra_num,ano_base,Fase_num,IAN,IPP
RA-807,807,2023,,5.0,6.25
RA-963,963,2023,,5.0,7.5
RA-964,964,2023,,5.0,6.875
RA-965,965,2023,,5.0,5.0
RA-966,966,2023,,5.0,6.5625
RA-967,967,2023,,5.0,5.625
RA-968,968,2023,,5.0,7.5
RA-812,812,2023,,10.0,6.875
RA-969,969,2023,,10.0,6.25
RA-970,970,2023,,10.0,9.375
RA-971,971,2023,,10.0,5.625
RA-972,972,2023,,10.0,6.875
RA-973,973,2023,,5.0,7.1875
RA-974,974,2023,,10.0,7.5
RA-975,975,2023,,10.0,5.625
RA-976,976,2023,,10.0,5.9375
RA-977,977,2023,,10.0,5.625
RA-978,978,2023,,10.0,5.625
RA-979,979,2023,,10.0,5.625
RA-980,980,2023,,10.0,5.625
RA-808,808,2023,,5.0,7.5
RA-981,981,2023,,10.0,5.625
RA-982,982,2023,,10.0,5.625
RA-983,983,2023,,10.0,6.25
RA-984,984,2023,,10.0,6.875
RA-985,985,2023,,10.0,5.625
RA-986,986,2023,,10.0,5.625
RA-987,987,2023,,10.0,6.875
RA-988,988,2023,,5.0,6.25
RA-989,989,2023,,5.0,7.5
RA-677,677,2023,,5.0,6.875
RA-990,990,2023,,5.0,7.5
RA-991,991,2023,,5.0,6.875
RA-992,992,2023,,5.0,5.0
RA-703,703,2023,,5.0,6.875
RA-993,993,2023,,10.0,7.5
RA-674,674,2023,,5.0,5.0
RA-994,994,2023,,10.0,5.625
RA-995,995,2023,,5.0,6.25
RA-996,996,2023,,5.0,7.5
RA-997,997,2023,,10.0,5.625
RA-998,998,2023,,5.0,7.5
RA-999,999,2023,,5.0,7.5
RA-750,750,2023,,5.0,4.375
RA-770,770,2023,,10.0,6.875
RA-771,771,2023,,10.0,6.25
RA-1000,1000,2023,,10.0,6.25
RA-830,830,2023,,5.0,6.25
RA-1001,1001,2023,,5.0,7.5
RA-1002,1002,2023,,5.0,6.25
RA-1003,1003,2023,,10.0,7.5
RA-835,835,2023,,10.0,6.875
RA-1004,1004,2023,,10.0,6.875
RA-1005,1005,2023,,10.0,7.5
RA-1006,1006,2023,,10.0,7.5
RA-705,705,2023,,5.0,7.5
RA-1007,1007,2023,,10.0,7.5
RA-1008,1008,2023,,10.0,5.9375
RA-729,729,2023,,5.0,6.5625
RA-1009,1009,2023,,10.0,7.5
RA-1010,1010,2023,,10.0,7.8125
RA-1011,1011,2023,,10.0,7.1875
RA-1012,1012,2023,,10.0,7.1875
RA-1013,1013,2023,,10.0,5.625
RA-1014,1014,2023,,10.0,7.5
RA-1015,1015,2023,1,5.0,7.34375
RA-734,734,2023,1,5.0,7.34375
RA-687,687,2023,1,5.0,7.5
RA-1016,1016,2023,1,5.0,7.34375
RA-1017,1017,2023,1,5.0,7.5
RA-688,688,2023,1,5.0,7.5
RA-1018,1018,2023,1,10.0,7.5
RA-696,696,2023,1,10.0,7.5
RA-1019,1019,2023,1,10.0,6.875
RA-514,514,2023,1,5.0,5.0
RA-1020,1020,2023,1,10.0,7.1875
RA-1021,1021,2023,1,10.0,7.1875
RA-1022,1022,2023,1,10.0,7.1875
RA-1023,1023,2023,1,10.0,8.75
RA-699,699,2023,1,5.0,5.78125
RA-480,480,2023,1,5.0,7.96875
RA-678,678,2023,1,5.0,7.65625
RA-1024,1024,2023,1,5.0,9.21875
RA-502,502,2023,1,10.0,7.96875
RA-1025,1025,2023,1,10.0,7.65625
RA-680,680,2023,1,5.0,6.875
RA-1026,1026,2023,1,2.5,6.40625
RA-698,698,2023,1,10.0,7.1875
RA-533,533,2023,1,5.0,7.5
RA-504,504,2023,1,10.0,7.5
RA-1027,1027,2023,1,5.0,7.5
RA-529,529,2023,1,5.0,5.78125
RA-1028,1028,2023,1,5.0,7.34375
RA-686,686,2023,1,5.0,7.5
RA-1029,1029,2023,1,10.0,7.5
RA-1030,1030,2023,1,5.0,6.875
RA-522,522,2023,1,5.0,7.083333333
RA-501,501,2023,1,5.0,8.541666667
RA-692,692,2023,1,5.0,6.666666667
RA-527,527,2023,1,5.0,7.5
RA-1031,1031,2023,1,5.0,6.666666667
RA-1032,1032,2023,1,5.0,7.291666667
RA-1033,1033,2023,1,5.0,8.125
RA-1034,1034,2023,1,5.0,8.333333333
RA-1035,1035,2023,1,10.0,7.708333333
RA-730,730,2023,1,5.0,9.53125
RA-855,855,2023,1,10.0,8.4375
RA-820,820,2023,1,5.0,9.0625
RA-738,738,2023,1,10.0,8.4375
RA-1036,1036,2023,1,5.0,9.0625
RA-1037,1037,2023,1,5.0,8.59375
