ano_base,Fase_num,quadrante,qtd
2023,1,IAN_alto x IPP_alto,122
2023,1,IAN_alto x IPP_baixo,50
2023,1,IAN_baixo x IPP_baixo,1
2023,2,IAN_alto x IPP_alto,161
2023,2,IAN_alto x IPP_baixo,37
2023,2,IAN_baixo x IPP_alto,1
2023,2,IAN_baixo x IPP_baixo,1
2023,3,IAN_alto x IPP_alto,86
2023,3,IAN_alto x IPP_baixo,44
2023,3,IAN_baixo x IPP_alto,2
2023,4,IAN_alto x IPP_alto,65
2023,4,IAN_alto x IPP_baixo,24
2023,4,IAN_baixo x IPP_alto,4
2023,4,IAN_baixo x IPP_baixo,1
2023,5,IAN_alto x IPP_alto,41
2023,5,IAN_alto x IPP_baixo,21
2023,5,IAN_baixo x IPP_alto,1
2023,5,IAN_baixo x IPP_baixo,2
2023,6,IAN_alto x IPP_alto,29
2023,6,IAN_alto x IPP_baixo,4
2023,7,IAN_alto x IPP_alto,6
2023,7,IAN_alto x IPP_baixo,4
2023,,IAN_alto x IPP_alto,100
2023,,IAN_alto x IPP_baixo,130
2023,,IAN_baixo x IPP_baixo,1
2024,1,IAN_alto x IPP_alto,142
2024,1,IAN_alto x IPP_baixo,43
2024,2,IAN_alto x IPP_alto,123
2024,2,IAN_alto x IPP_baixo,62
2024,3,IAN_alto x IPP_alto,101
2024,3,IAN_alto x IPP_baixo,108
2024,3,IAN_baixo x IPP_baixo,2
2024,4,IAN_alto x IPP_alto,80
2024,4,IAN_alto x IPP_baixo,34
2024,4,IAN_baixo x IPP_alto,1
2024,5,IAN_alto x IPP_alto,66
2024,5,IAN_alto x IPP_baixo,34
2024,6,IAN_alto x IPP_alto,19
2024,6,IAN_alto x IPP_baixo,6
2024,7,IAN_alto x IPP_alto,37
2024,,IAN_alto x IPP_alto,123
2024,,IAN_alto x IPP_baixo,73
