variavel,corr,abs_corr,n
INDE_final,0.7208962270271223,0.7208962270271223,2845
IPP,0.6066494221018388,0.6066494221018388,1992
IEG,0.5582001252304045,0.5582001252304045,2852
IDA,0.5570717656866292,0.5570717656866292,2851
IAN,0.14887980507995502,0.14887980507995502,2852
IAA,0.06272844646851476,0.06272844646851476,2852
IPS,-0.04875043268364838,0.04875043268364838,2846
