ano_base,Fase_num,IDA_faixa,IEG_faixa,IPS_faixa,IPP_faixa,n,inde_medio
2023,1,Q2,Q2,Q1_baixo,Q1_baixo,3,6.853297222333334
2023,1,Q2,Q2,Q1_baixo,Q2,1,6.939033333
2023,1,Q2,Q2,Q1_baixo,Q3,2,7.147866667000001
2023,1,Q2,Q2,Q1_baixo,Q4_alto,2,7.1423375
2023,1,Q2,Q2,Q2,Q1_baixo,2,6.5759333335
2023,1,Q2,Q2,Q2,Q2,2,6.9622833335
2023,1,Q2,Q2,Q2,Q3,0,
2023,1,Q2,Q2,Q2,Q4_alto,0,
2023,1,Q2,Q2,Q3,Q1_baixo,0,
2023,1,Q2,Q2,Q3,Q2,0,
2023,1,Q2,Q2,Q3,Q3,0,
2023,1,Q2,Q2,Q3,Q4_alto,0,
2023,1,Q2,Q2,Q4_alto,Q1_baixo,1,7.018033333
2023,1,Q2,Q2,Q4_alto,Q2,3,7.224008333333333
2023,1,Q2,Q2,Q4_alto,Q3,5,6.9727883334
2023,1,Q2,Q2,Q4_alto,Q4_alto,1,8.3342
2023,1,Q2,Q3,Q1_baixo,Q1_baixo,2,7.3352416665
2023,1,Q2,Q3,Q1_baixo,Q2,0,
2023,1,Q2,Q3,Q1_baixo,Q3,1,7.09945
2023,1,Q2,Q3,Q1_baixo,Q4_alto,0,
2023,1,Q2,Q3,Q2,Q1_baixo,0,
2023,1,Q2,Q3,Q2,Q2,1,7.538908333
2023,1,Q2,Q3,Q2,Q3,0,
2023,1,Q2,Q3,Q2,Q4_alto,0,
2023,1,Q2,Q3,Q3,Q1_baixo,0,
2023,1,Q2,Q3,Q3,Q2,0,
2023,1,Q2,Q3,Q3,Q3,1,7.8597
2023,1,Q2,Q3,Q3,Q4_alto,0,
2023,1,Q2,Q3,Q4_alto,Q1_baixo,3,7.045508333333333
2023,1,Q2,Q3,Q4_alto,Q2,3,7.479033333333334
2023,1,Q2,Q3,Q4_alto,Q3,2,7.2142291665
2023,1,Q2,Q3,Q4_alto,Q4_alto,3,7.871658333333333
2023,1,Q2,Q4_alto,Q1_baixo,Q1_baixo,1,7.553616667
2023,1,Q2,Q4_alto,Q1_baixo,Q2,0,
2023,1,Q2,Q4_alto,Q1_baixo,Q3,2,6.92835
2023,1,Q2,Q4_alto,Q1_baixo,Q4_alto,0,
2023,1,Q2,Q4_alto,Q2,Q1_baixo,1,7.462866667
2023,1,Q2,Q4_alto,Q2,Q2,0,
2023,1,Q2,Q4_alto,Q2,Q3,0,
2023,1,Q2,Q4_alto,Q2,Q4_alto,0,
2023,1,Q2,Q4_alto,Q3,Q1_baixo,0,
2023,1,Q2,Q4_alto,Q3,Q2,0,
2023,1,Q2,Q4_alto,Q3,Q3,0,
2023,1,Q2,Q4_alto,Q3,Q4_alto,0,
2023,1,Q2,Q4_alto,Q4_alto,Q1_baixo,0,
2023,1,Q2,Q4_alto,Q4_alto,Q2,3,7.817408333333333
2023,1,Q2,Q4_alto,Q4_alto,Q3,2,8.0843666665
