ano_base,Fase_num,Turma,n,inde_medio,ida_media,ieg_medio,ips_medio,ipp_medio,ian_medio
2022,0,Z,9,7.929888888888889,8.022222222222222,8.588888888888889,7.011111111111111,,8.88888888888889
2022,0,A,6,7.849333333333333,8.583333333333334,8.299999999999999,8.1,,7.5
2022,0,D,9,7.749777777777778,7.544444444444445,9.066666666666666,7.688888888888889,,6.666666666666667
2022,0,L,11,7.694181818181818,7.3090909090909095,9.299999999999999,7.5,,5.2272727272727275
2022,0,R,8,7.6925,8.0375,7.949999999999999,6.2625,,9.375
2022,0,U,9,7.6755555555555555,7.388888888888889,8.644444444444444,7.5,,6.111111111111111
2022,0,B,6,7.646166666666667,6.966666666666666,9.0,7.3,,5.833333333333333
2022,0,S,7,7.578714285714286,7.171428571428572,8.085714285714285,6.885714285714286,,7.857142857142857
2022,0,Y,10,7.5498,8.14,7.7,7.25,,8.5
2022,0,M,6,7.5195,7.766666666666667,7.45,7.083333333333333,,7.5
2022,0,O,12,7.51575,6.3500000000000005,9.008333333333333,7.183333333333334,,7.083333333333333
2022,0,I,3,7.466666666666666,7.6000000000000005,8.200000000000001,8.166666666666666,,5.0
2022,0,K,11,7.446909090909091,8.063636363636364,8.072727272727272,6.881818181818182,,5.909090909090909
2022,0,H,7,7.401000000000001,6.585714285714286,7.085714285714286,7.657142857142857,,10.0
2022,0,V,7,7.281285714285715,7.457142857142857,7.685714285714285,7.5,,7.142857142857143
2022,0,J,14,7.185428571428572,6.628571428571428,8.507142857142856,5.557142857142857,,6.428571428571429
2022,0,Q,9,7.143888888888889,6.566666666666666,8.033333333333333,7.366666666666666,,5.555555555555555
2022,0,C,3,7.044999999999999,7.1000000000000005,6.233333333333333,6.866666666666667,,6.666666666666667
2022,0,F,10,7.028700000000001,7.13,7.55,6.69,,5.5
2022,0,G,13,6.884307692307692,6.761538461538462,7.476923076923077,6.3076923076923075,,5.769230769230769
2022,0,T,6,6.7865,5.516666666666667,7.333333333333333,7.2,,5.833333333333333
2022,0,E,5,6.6988,6.540000000000001,8.08,6.5,,6.0
2022,0,N,9,6.571111111111112,5.511111111111111,6.677777777777778,6.811111111111111,,6.666666666666667
2022,1,E,5,7.656000000000001,7.06,8.940000000000001,7.12,,6.0
2022,1,B,14,7.582857142857143,7.521428571428571,8.864285714285716,7.142857142857143,,6.428571428571429
2022,1,M,11,7.513181818181818,8.054545454545455,8.472727272727273,7.5,,5.454545454545454
2022,1,R,12,7.482083333333333,7.216666666666666,8.924999999999999,7.0249999999999995,,5.416666666666667
2022,1,C,10,7.4584,6.85,8.95,7.31,,6.5
2022,1,D,13,7.448538461538462,6.992307692307692,9.046153846153846,6.923076923076923,,6.538461538461538
2022,1,L,14,7.3865,6.214285714285714,8.992857142857142,7.457142857142857,,6.428571428571429
2022,1,K,12,7.375333333333334,6.4750000000000005,8.841666666666667,7.0249999999999995,,6.666666666666667
2022,1,J,17,7.102176470588236,6.158823529411765,8.464705882352941,7.247058823529412,,5.147058823529412
2022,1,U,13,7.069461538461539,6.407692307692307,8.046153846153846,7.5,,5.384615384615385
2022,1,A,14,7.0555,5.921428571428572,8.121428571428572,7.142857142857143,,5.714285714285714
2022,1,N,10,7.048399999999999,6.5,7.88,7.5,,6.0
2022,1,P,14,7.017071428571429,5.721428571428571,8.407142857142857,7.328571428571428,,5.714285714285714
2022,1,F,10,6.7982,5.6,9.05,5.88,,4.75
2022,1,H,11,6.782,6.090909090909091,7.527272727272727,6.818181818181818,,4.7727272727272725
2022,1,G,12,6.6202499999999995,5.183333333333334,8.008333333333333,6.158333333333334,,5.0
2022,2,L,15,7.578533333333334,6.36,9.313333333333333,7.206666666666666,,6.333333333333333
2022,2,F,17,7.349235294117647,6.429411764705883,8.58235294117647,6.552941176470589,,7.0588235294117645
2022,2,P,10,7.190300000000001,5.64,8.24,6.94,,8.0
2022,2,A,13,7.161153846153846,5.538461538461538,8.3,6.3076923076923075,,7.3076923076923075
2022,2,B,13,7.095461538461539,5.661538461538461,8.13076923076923,7.207692307692308,,6.923076923076923
2022,2,D,11,6.8892727272727265,5.172727272727273,7.581818181818182,7.1,,6.363636363636363
2022,2,J,7,6.720142857142856,4.814285714285715,7.642857142857143,6.614285714285714,,6.071428571428571
2022,2,Q,13,6.715307692307693,5.7846153846153845,7.923076923076923,7.1692307692307695,,5.0
2022,2,K,13,6.714230769230769,4.569230769230769,8.3,6.684615384615385,,5.769230769230769
2022,2,M,14,6.685214285714286,4.8428571428571425,7.435714285714285,7.142857142857143,,6.785714285714286
2022,2,I,13,6.676461538461538,5.061538461538461,7.776923076923078,6.3538461538461535,,5.769230769230769
2022,2,U,16,6.561625,4.53125,8.19375,6.6,,5.625
2022,3,F,13,7.547461538461539,6.2846153846153845,8.276923076923076,6.684615384615385,,7.6923076923076925
2022,3,A,16,7.51425,6.025,8.4625,7.00625,,8.125
2022,3,K,16,7.1970625,6.2375,7.73125,6.88125,,7.5
2022,3,N,13,6.836538461538462,5.107692307692308,7.3769230769230765,6.446153846153846,,7.884615384615385
2022,3,I,4,6.753,5.5,7.525,5.925,,5.625
2022,3,D,8,6.704625,5.9125,7.275,7.5,,6.5625
2022,3,B,15,6.526533333333333,5.34,6.78,6.046666666666667,,7.666666666666667
2022,3,M,16,6.3069999999999995,4.95,6.70625,6.88125,,6.40625
2022,3,E,13,6.203076923076923,4.338461538461538,6.346153846153846,7.3538461538461535,,7.3076923076923075
2022,3,C,8,6.04425,5.3625,6.725,7.2625,,5.9375
