RA;ra_num;ano_base;Fase_num;IEG;IDA;IPV
RA-853;853;2022;0,0;9,6;8,5;8,5
RA-854;854;2022;0,0;9,0;9,3;7,167
RA-855;855;2022;0,0;9,6;9,7;9,0
RA-856;856;2022;0,0;9,1;8,4;8,0
RA-857;857;2022;0,0;8,9;9,5;9,083
RA-858;858;2022;0,0;7,1;7,7;7,333
RA-859;859;2022;0,0;8,7;8,9;8,25
RA-860;860;2022;0,0;8,5;8,1;7,75
RA-1015;1015;2023;1,0;9,3;6,3;7,787
RA-734;734;2023;1,0;8,0;6,9;7,447
RA-687;687;2023;1,0;9,0;6,9;8,227
RA-1016;1016;2023;1,0;9,5;6,7;7,73
RA-1017;1017;2023;1,0;8,0;7,7;8,117
RA-688;688;2023;1,0;9,3;8,6;8,06
RA-1018;1018;2023;1,0;8,5;6,3;8,06
RA-696;696;2023;1,0;9,4;6,7;8,503
RA-1019;1019;2023;1,0;9,1;4,3;7,837
RA-514;514;2023;1,0;7,5;5,5;5,897
RA-1020;1020;2023;1,0;9,1;6,1;8,057
RA-1021;1021;2023;1,0;9,2;3,3;7,893
RA-1022;1022;2023;1,0;8,5;4,7;7,893
RA-1023;1023;2023;1,0;10,0;9,1;9,06
RA-699;699;2023;1,0;8,3;6,0;6,173
RA-480;480;2023;1,0;9,7;7,9;8,337
RA-678;678;2023;1,0;8,8;7,3;8,337
RA-1024;1024;2023;1,0;10,0;9,8;8,95
RA-502;502;2023;1,0;9,8;8,0;8,95
RA-1025;1025;2023;1,0;8,9;7,5;7,837
RA-680;680;2023;1,0;9,1;6,4;7,78
RA-1026;1026;2023;1,0;9,8;3,2;7,06
RA-698;698;2023;1,0;9,9;5,7;8,113
RA-533;533;2023;1,0;9,3;5,8;7,613
RA-504;504;2023;1,0;8,3;7,9;8,837
RA-1027;1027;2023;1,0;9,7;6,0;8,333
RA-529;529;2023;1,0;9,6;6,8;6,893
RA-1028;1028;2023;1,0;9,2;5,0;7,947
RA-686;686;2023;1,0;9,0;8,0;8,56
RA-1029;1029;2023;1,0;6,3;5,4;8,007
RA-1030;1030;2023;1,0;9,7;6,9;8,39
RA-522;522;2023;1,0;9,2;8,3;8,45
RA-501;501;2023;1,0;8,4;8,9;9,397
RA-692;692;2023;1,0;7,7;4,6;7,39
RA-527;527;2023;1,0;9,1;6,5;7,78
RA-1031;1031;2023;1,0;8,8;5,9;7,007
RA-1032;1032;2023;1,0;9,5;6,0;7,563
RA-1033;1033;2023;1,0;8,9;7,9;9,007
RA-1034;1034;2023;1,0;9,0;8,3;8,393
RA-1035;1035;2023;1,0;8,3;5,8;7,78
RA-730;730;2023;1,0;8,7;7,8;8,67
RA-855;855;2023;1,0;10,0;6,8;8,67
RA-820;820;2023;1,0;7,4;8,9;8,28
RA-738;738;2023;1,0;9,3;6,0;8,337
RA-1036;1036;2023;1,0;9,6;8,0;8,337
RA-1037;1037;2023;1,0;8,4;6,7;8,17
RA-576;576;2023;1,0;9,3;8,0;8,503
RA-1038;1038;2023;1,0;9,3;6,5;8,17
RA-1039;1039;2023;1,0;9,9;6,2;8,057
RA-1040;1040;2023;1,0;9,3;6,6;8,06
RA-1041;1041;2023;1,0;7,2;3,3;8,003
RA-733;733;2023;1,0;8,7;6,2;8,893
RA-837;837;2023;1,0;9,3;7,0;7,837
RA-519;519;2023;1,0;9,9;7,4;8,223
RA-521;521;2023;1,0;9,9;7,9;8,167
RA-1042;1042;2023;1,0;6,5;4,3;7,667
RA-713;713;2023;1,0;9,6;7,5;8,167
RA-736;736;2023;1,0;9,5;6,7;8,11
RA-1043;1043;2023;1,0;7,9;2,5;7,833
RA-716;716;2023;1,0;8,7;5,6;7,443
RA-1044;1044;2023;1,0;9,7;6,1;8,337
RA-745;745;2023;1,0;9,3;7,0;8,893
RA-717;717;2023;1,0;8,5;5,9;8,447
RA-718;718;2023;1,0;9,1;7,8;8,39
RA-721;721;2023;1,0;9,5;8,4;8,443
RA-746;746;2023;1,0;8,0;7,2;7,113
RA-1045;1045;2023;1,0;9,4;7,9;8,28
RA-483;483;2023;1,0;6,0;5,6;8,167
RA-1046;1046;2023;1,0;8,5;6,3;8,223
RA-1047;1047;2023;1,0;8,5;6,9;7,893
RA-570;570;2023;1,0;7,3;5,9;8,057
RA-1048;1048;2023;1,0;9,5;8,2;8,5
RA-1049;1049;2023;1,0;7,7;6,3;7,943
RA-1050;1050;2023;1,0;9,2;7,2;8,223
RA-1051;1051;2023;1,0;8,9;8,4;8,613
RA-707;707;2023;1,0;9,8;6,5;7,947
RA-1052;1052;2023;1,0;9,0;5,3;7,833
RA-580;580;2023;1,0;9,8;9,0;8,67
RA-581;581;2023;1,0;9,8;7,9;7,393
RA-735;735;2023;1,0;9,0;8,1;8,393
RA-710;710;2023;1,0;9,0;6,5;7,113
RA-712;712;2023;1,0;5,6;6,7;6,837
RA-549;549;2023;1,0;8,1;6,4;7,5
RA-679;679;2023;1,0;7,5;3,6;7,393
RA-571;571;2023;1,0;7,9;5,0;7,617
RA-714;714;2023;1,0;8,0;7,4;7,223
RA-737;737;2023;1,0;7,8;7,5;7,783
RA-577;577;2023;1,0;8,2;7,4;7,673
RA-1053;1053;2023;1,0;9,1;8,6;8,617
RA-731;731;2023;1,0;7,6;6,8;7,45
RA-552;552;2023;1,0;5,6;6,4;6,89
RA-1054;1054;2023;1,0;8,6;6,6;7,837
RA-1055;1055;2023;1,0;7,2;5,5;7,277
RA-597;597;2023;1,0;9,6;8,5;8,56
RA-624;624;2023;1,0;9,2;8,6;8,39
RA-776;776;2023;1,0;7,0;3,5;7,223
RA-600;600;2023;1,0;8,4;7,2;8,057
RA-1056;1056;2023;1,0;9,6;8,1;8,113
RA-791;791;2023;1,0;8,1;5,3;7,723
RA-601;601;2023;1,0;10,0;8,7;8,337
RA-762;762;2023;1,0;9,1;5,8;7,67
RA-778;778;2023;1,0;7,9;8,2;8,62
RA-628;628;2023;1,0;8,9;9,4;8,45
RA-606;606;2023;1,0;8,5;6,0;8,223
RA-766;766;2023;1,0;8,7;8,7;8,337
RA-607;607;2023;1,0;7,5;6,8;8,17
RA-608;608;2023;1,0;7,5;6,2;8,113
RA-788;788;2023;1,0;9,8;6,9;8,283
RA-784;784;2023;1,0;9,5;7,3;8,783
RA-785;785;2023;1,0;8,5;8,8;8,67
RA-587;587;2023;1,0;7,0;2,7;6,72
RA-790;790;2023;1,0;8,1;7,4;8,287
RA-663;663;2023;1,0;7,4;7,0;7,393
RA-664;664;2023;1,0;9,6;8,0;8,117
RA-761;761;2023;1,0;9,7;8,4;8,12
RA-1057;1057;2023;1,0;10,0;6,3;8,34
RA-629;629;2023;1,0;9,4;7,5;7,95
RA-832;832;2023;1,0;9,5;8,5;8,283
RA-594;594;2023;1,0;7,1;5,8;7,337
RA-617;617;2023;1,0;9,0;6,9;8,117
RA-767;767;2023;1,0;8,3;6,3;7,447
RA-1058;1058;2023;1,0;8,7;5,4;7,62
RA-747;747;2023;1,0;8,0;3,1;6,94
RA-827;827;2023;1,0;8,1;8,1;8,73
RA-1059;1059;2023;1,0;9,8;7,6;8,673
RA-612;612;2023;1,0;9,7;9,7;9,287
RA-1060;1060;2023;1,0;8,6;5,7;8,673
RA-665;665;2023;1,0;4,9;5,2;8,227
RA-829;829;2023;1,0;9,4;8,4;9,23
RA-1061;1061;2023;1,0;9,7;9,3;8,837
RA-1062;1062;2023;1,0;7,7;6,2;8,503
RA-615;615;2023;1,0;9,7;7,6;8,617
RA-833;833;2023;1,0;9,5;7,4;8,56
RA-630;630;2023;1,0;8,6;5,7;8,673
RA-752;752;2023;1,0;9,9;6,4;9,23
RA-777;777;2023;1,0;9,3;6,3;8,84
RA-1063;1063;2023;1,0;9,5;5,9;7,89
RA-764;764;2023;1,0;9,2;7,8;8,56
RA-1064;1064;2023;1,0;9,8;8,6;8,84
RA-1065;1065;2023;1,0;9,6;7,0;8,84
RA-772;772;2023;1,0;7,2;4,8;8,003
RA-781;781;2023;1,0;9,8;7,9;9,117
RA-1066;1066;2023;1,0;6,6;6,2;8,783
RA-1067;1067;2023;1,0;7,9;5,4;9,007
RA-834;834;2023;1,0;9,9;9,2;9,283
RA-722;722;2023;1,0;9,6;6,4;8,67
RA-1068;1068;2023;1,0;9,3;9,0;9,283
RA-796;796;2023;1,0;9,8;5,5;8,337
RA-1069;1069;2023;1,0;7,8;7,1;8,227
RA-797;797;2023;1,0;8,6;7,5;7,233
RA-647;647;2023;1,0;8,7;5,2;8,447
RA-814;814;2023;1,0;9,6;8,2;9,227
RA-652;652;2023;1,0;9,4;7,0;8,447
RA-816;816;2023;1,0;9,8;8,9;9,283
RA-640;640;2023;1,0;7,3;4,9;8,447
RA-810;810;2023;1,0;8,5;6,9;7,837
RA-643;643;2023;1,0;8,2;7,1;7,613
RA-819;819;2023;1,0;8,3;9,5;8,893
RA-1070;1070;2023;1,0;7,8;5,8;8,67
RA-813;813;2023;1,0;8,4;3,9;8,06
RA-636;636;2023;1,0;8,3;9,0;7,447
RA-798;798;2023;1,0;8,1;6,1;6,95
RA-799;799;2023;1,0;9,6;8,3;8,17
RA-815;815;2023;1,0;8,6;6,5;7,063
RA-637;637;2023;1,0;9,5;8,5;8,17
RA-638;638;2023;1,0;9,4;6,5;7,947
RA-801;801;2023;1,0;7,5;7,6;7,12
RA-802;802;2023;1,0;9,3;9,4;7,507
RA-1071;1071;2023;1,0;8,6;3,5;6,397
RA-817;817;2023;1,0;8,8;5,4;7,89
RA-818;818;2023;1,0;8,4;6,2;7,613
RA-804;804;2023;1,0;8,6;6,9;7,173
RA-645;645;2023;1,0;8,5;7,3;8,117
RA-479;479;2023;2,0;10,0;9,7;9,638
RA-493;493;2023;2,0;9,6;6,0;8,84
RA-1072;1072;2023;2,0;8,6;6,7;8,712
RA-536;536;2023;2,0;9,3;5,9;9,17
RA-1073;1073;2023;2,0;8,8;6,2;9,045
RA-494;494;2023;2,0;9,0;6,8;8,71
RA-496;496;2023;2,0;7,1;8,3;8,71
RA-497;497;2023;2,0;8,7;3,5;6,885
RA-1074;1074;2023;2,0;9,8;6,0;7,878
RA-486;486;2023;2,0;6,4;6,2;8,752
RA-1075;1075;2023;2,0;9,6;5,5;9,002
RA-578;578;2023;2,0;10,0;9,7;9,762
RA-513;513;2023;2,0;9,7;7,5;9,008
RA-487;487;2023;2,0;9,9;9,5;9,26
RA-1076;1076;2023;2,0;9,7;8,5;8,878
RA-490;490;2023;2,0;7,9;5,8;9,008
RA-491;491;2023;2,0;9,6;5,0;8,338
RA-1077;1077;2023;2,0;9,7;7,3;8,422
RA-484;484;2023;2,0;7,5;3,6;6,8
RA-508;508;2023;2,0;8,6;7,5;8,672
RA-495;495;2023;2,0;8,4;7,4;8,755
RA-1078;1078;2023;2,0;6,8;6,4;8,298
RA-340;340;2023;2,0;9,6;8,9;8,505
RA-1079;1079;2023;2,0;8,1;7,6;7,13
RA-1080;1080;2023;2,0;10,0;1,5;8,13
RA-1081;1081;2023;2,0;10,0;6,5;8,59
RA-1082;1082;2023;2,0;9,5;5,0;8,422
RA-1083;1083;2023;2,0;10,0;7,5;8,38
RA-531;531;2023;2,0;10,0;7,7;8,59
RA-1084;1084;2023;2,0;10,0;6,8;8,38
RA-516;516;2023;2,0;9,8;9,3;8,718
RA-348;348;2023;2,0;8,7;4,4;8,008
RA-1085;1085;2023;2,0;9,8;6,7;8,13
RA-1086;1086;2023;2,0;9,4;5,7;8,755
RA-1087;1087;2023;2,0;9,5;5,4;8,047
RA-509;509;2023;2,0;8,1;8,6;8,84
RA-499;499;2023;2,0;10,0;6,6;8,298
RA-500;500;2023;2,0;10,0;7,9;8,798
RA-1088;1088;2023;2,0;9,8;6,8;7,922
RA-1089;1089;2023;2,0;9,5;7,0;8,338
RA-1090;1090;2023;2,0;9,6;9,0;7,88
RA-503;503;2023;2,0;10,0;8,7;8,255
RA-1091;1091;2023;2,0;9,0;9,5;9,172
RA-1092;1092;2023;2,0;9,8;6,9;8,298
RA-1093;1093;2023;2,0;9,3;9,2;8,298
RA-1094;1094;2023;2,0;9,5;8,5;8,338
RA-1095;1095;2023;2,0;9,8;5,3;8,005
RA-324;324;2023;2,0;9,0;8,4;7,588
RA-350;350;2023;2,0;9,7;9,0;7,92
RA-517;517;2023;2,0;9,0;6,6;6,712
RA-325;325;2023;2,0;7,1;5,6;7,002
RA-518;518;2023;2,0;8,5;6,7;6,918
RA-530;530;2023;2,0;8,8;5,7;7,46
RA-524;524;2023;2,0;9,2;8,9;7,42
RA-1096;1096;2023;2,0;9,9;9,6;8,088
RA-526;526;2023;2,0;9,8;8,8;7,752
RA-528;528;2023;2,0;8,5;8,2;7,92
RA-534;534;2023;2,0;8,1;5,4;7,92
RA-1097;1097;2023;2,0;8,6;5,4;6,96
RA-1098;1098;2023;2,0;9,5;6,4;7,92
RA-506;506;2023;2,0;8,1;8,5;7,92
RA-1099;1099;2023;2,0;9,6;5,2;8,34
RA-1100;1100;2023;2,0;9,2;7,1;8,283
RA-1101;1101;2023;2,0;7,2;5,3;8,117
RA-1102;1102;2023;2,0;9,5;7,5;7,56
RA-363;363;2023;2,0;9,9;6,8;8,673
RA-1103;1103;2023;2,0;8,7;5,0;8,007
RA-539;539;2023;2,0;8,6;8,5;8,84
RA-540;540;2023;2,0;8,8;7,1;8,95
RA-574;574;2023;2,0;8,2;8,1;8,173
RA-369;369;2023;2,0;4,1;4,0;7,727
RA-375;375;2023;2,0;9,9;7,9;8,283
RA-376;376;2023;2,0;9,6;5,9;8,227
RA-535;535;2023;2,0;9,4;5,6;8,95
RA-547;547;2023;2,0;9,1;6,2;8,95
RA-548;548;2023;2,0;9,1;7,4;8,283
RA-538;538;2023;2,0;8,6;4,7;7,39
RA-365;365;2023;2,0;9,9;8,7;8,953
RA-559;559;2023;2,0;9,4;7,4;8,507
RA-1104;1104;2023;2,0;10,0;6,4;9,063
RA-563;563;2023;2,0;9,7;6,2;8,727
RA-573;573;2023;2,0;9,8;6,6;8,45
RA-551;551;2023;2,0;8,6;5,4;8,393
RA-566;566;2023;2,0;8,8;8,4;8,673
RA-555;555;2023;2,0;8,1;3,9;6,947
RA-373;373;2023;2,0;9,7;8,4;7,84
RA-1105;1105;2023;2,0;9,0;6,0;8,673
RA-546;546;2023;2,0;7,2;5,7;9,173
RA-557;557;2023;2,0;8,2;8,9;9,62
RA-1106;1106;2023;2,0;9,3;5,1;8,003
RA-558;558;2023;2,0;9,4;6,0;6,78
RA-560;560;2023;2,0;8,4;4,0;6,0
RA-1107;1107;2023;2,0;9,4;7,5;8,783
RA-1108;1108;2023;2,0;9,3;4,7;8,283
RA-542;542;2023;2,0;9,7;6,3;9,007
RA-543;543;2023;2,0;9,8;6,5;9,007
RA-556;556;2023;2,0;9,6;7,2;9,397
RA-1109;1109;2023;2,0;6,4;3,4;7,837
RA-389;389;2023;2,0;8,2;8,2;8,95
RA-1110;1110;2023;2,0;9,2;6,8;8,73
RA-568;568;2023;2,0;7,9;7,6;8,01
RA-562;562;2023;2,0;8,5;8,7;8,893
RA-1111;1111;2023;2,0;8,9;5,4;8,173
RA-1112;1112;2023;2,0;7,9;6,3;8,617
RA-525;525;2023;2,0;8,6;9,2;9,567
RA-357;357;2023;2,0;9,6;8,7;8,23
RA-583;583;2023;2,0;9,4;6,3;8,617
RA-584;584;2023;2,0;9,0;5,8;8,56
RA-586;586;2023;2,0;10,0;8,4;9,343
RA-1113;1113;2023;2,0;6,0;5,0;7,173
RA-413;413;2023;2,0;8,9;6,3;7,503
RA-599;599;2023;2,0;9,5;8,5;9,287
RA-1114;1114;2023;2,0;9,8;4,9;8,56
RA-401;401;2023;2,0;8,1;7,3;7,117
RA-1115;1115;2023;2,0;8,3;4,0;7,56
RA-1116;1116;2023;2,0;9,2;4,9;7,39
RA-604;604;2023;2,0;9,3;7,5;8,617
RA-605;605;2023;2,0;9,5;6,8;7,84
RA-668;668;2023;2,0;6,3;3,4;7,617
RA-1117;1117;2023;2,0;9,6;7,3;7,947
RA-1118;1118;2023;2,0;8,8;6,0;8,28
RA-610;610;2023;2,0;10,0;7,0;8,897
RA-409;409;2023;2,0;9,5;8,0;8,73
RA-466;466;2023;2,0;7,6;4,5;7,057
RA-760;760;2023;2,0;8,8;6,3;7,84
RA-404;404;2023;2,0;8,3;6,0;6,89
RA-590;590;2023;2,0;9,7;6,5;8,34
RA-469;469;2023;2,0;9,3;7,8;8,843
RA-1119;1119;2023;2,0;9,7;5,9;8,453
RA-1120;1120;2023;2,0;9,6;8,3;9,677
RA-472;472;2023;2,0;7,1;5,5;8,223
RA-1121;1121;2023;2,0;9,9;8,0;9,84
RA-1122;1122;2023;2,0;9,3;6,9;8,617
RA-438;438;2023;2,0;7,5;5,4;7,223
RA-408;408;2023;2,0;8,5;6,8;8,45
RA-1123;1123;2023;2,0;8,9;5,3;7,113
RA-1124;1124;2023;2,0;8,0;3,0;7,787
RA-623;623;2023;2,0;9,5;7,3;7,447
RA-661;661;2023;2,0;7,7;6,5;7,837
RA-626;626;2023;2,0;9,2;6,5;7,613
RA-433;433;2023;2,0;7,2;4,8;7,613
RA-614;614;2023;2,0;9,1;8,6;8,563
RA-434;434;2023;2,0;8,0;6,6;7,613
RA-603;603;2023;2,0;8,9;7,0;7,78
RA-436;436;2023;2,0;4,7;3,4;7,613
RA-616;616;2023;2,0;6,6;6,8;6,783
RA-437;437;2023;2,0;8,4;4,7;7,78
RA-1125;1125;2023;2,0;7,9;4,0;6,95
RA-619;619;2023;2,0;7,1;9,0;8,117
RA-620;620;2023;2,0;8,4;6,2;7,503
RA-1127;1127;2023;2,0;9,9;6,9;9,01
RA-1128;1128;2023;2,0;7,3;3,5;7,503
RA-1129;1129;2023;2,0;9,2;7,8;7,503
RA-1130;1130;2023;2,0;8,4;7,3;7,503
RA-1131;1131;2023;2,0;9,9;9,1;9,287
RA-1132;1132;2023;2,0;6,3;5,8;7,503
RA-1133;1133;2023;2,0;10,0;6,5;9,343
RA-1134;1134;2023;2,0;9,7;6,8;7,56
RA-618;618;2023;2,0;9,2;6,2;7,95
RA-631;631;2023;2,0;6,4;7,0;6,78
RA-646;646;2023;2,0;8,9;8,4;8,783
RA-451;451;2023;2,0;9,5;8,9;9,897
RA-1135;1135;2023;2,0;9,4;7,2;7,897
RA-649;649;2023;2,0;9,3;6,5;8,837
RA-651;651;2023;2,0;8,2;9,3;7,95
RA-1136;1136;2023;2,0;8,1;6,6;7,723
RA-653;653;2023;2,0;9,8;7,9;9,06
RA-456;456;2023;2,0;8,3;9,9;9,953
RA-655;655;2023;2,0;9,9;8,3;8,897
RA-656;656;2023;2,0;8,9;7,3;7,173
RA-657;657;2023;2,0;10,0;8,2;8,73
RA-644;644;2023;2,0;5,6;5,9;7,503
RA-461;461;2023;2,0;7,9;7,4;8,617
RA-632;632;2023;2,0;9,1;7,4;8,563
RA-633;633;2023;2,0;8,1;7,2;7,287
RA-1137;1137;2023;2,0;9,8;6,5;9,843
RA-1138;1138;2023;2,0;9,2;9,3;8,567
RA-1139;1139;2023;2,0;9,1;5,3;7,79
RA-1140;1140;2023;2,0;8,7;7,3;7,62
RA-445;445;2023;2,0;8,8;8,4;8,177
RA-1141;1141;2023;2,0;8,8;5,9;7,113
RA-639;639;2023;2,0;8,1;6,3;7,62
RA-1142;1142;2023;2,0;10,0;10,0;8,343
RA-642;642;2023;2,0;9,2;6,5;9,173
RA-658;658;2023;2,0;9,5;6,1;9,173
RA-588;588;2023;2,0;9,6;7,8;9,673
RA-662;662;2023;2,0;7,6;6,7;6,72
RA-403;403;2023;2,0;8,8;7,8;8,45
RA-591;591;2023;2,0;8,5;6,9;7,333
RA-592;592;2023;2,0;9,2;7,6;8,95
RA-602;602;2023;2,0;9,6;8,1;9,51
RA-666;666;2023;2,0;9,1;7,1;9,62
RA-667;667;2023;2,0;6,9;5,2;7,837
RA-422;422;2023;2,0;7,8;4,4;6,107
RA-595;595;2023;2,0;7,0;3,3;5,55
RA-423;423;2023;2,0;8,7;3,4;7,45
RA-669;669;2023;2,0;7,8;5,0;7,06
RA-670;670;2023;2,0;8,7;7,0;9,343
RA-609;609;2023;2,0;6,4;5,3;6,217
RA-326;326;2023;3,0;9,4;8,2;9,76
RA-179;179;2023;3,0;9,4;6,4;8,922
RA-1143;1143;2023;3,0;7,0;5,3;6,208
RA-330;330;2023;3,0;7,2;3,3;5,828
RA-332;332;2023;3,0;8,4;6,8;9,175
RA-199;199;2023;3,0;7,6;8,5;8,505
RA-1144;1144;2023;3,0;9,4;8,0;8,002
RA-352;352;2023;3,0;8,1;7,2;7,17
RA-1145;1145;2023;3,0;9,5;7,8;8,63
RA-1146;1146;2023;3,0;8,8;3,7;6,965
RA-331;331;2023;3,0;8,6;5,2;6,798
RA-227;227;2023;3,0;7,5;6,9;7,462
RA-247;247;2023;3,0;8,5;7,2;7,542
RA-343;343;2023;3,0;7,2;5,7;6,922
RA-1147;1147;2023;3,0;8,3;6,7;7,008
RA-345;345;2023;3,0;6,8;4,6;7,172
RA-336;336;2023;3,0;7,5;5,1;7,255
RA-346;346;2023;3,0;9,4;6,2;7,84
RA-1148;1148;2023;3,0;8,6;5,7;7,212
RA-1149;1149;2023;3,0;9,8;7,2;8,172
RA-1150;1150;2023;3,0;9,8;6,7;7,835
RA-1151;1151;2023;3,0;9,5;8,3;7,545
RA-356;356;2023;3,0;8,5;3,4;6,502
RA-1152;1152;2023;3,0;9,4;6,8;7,585
RA-221;221;2023;3,0;9,0;5,0;7,38
RA-359;359;2023;3,0;9,2;5,8;8,255
RA-360;360;2023;3,0;7,3;4,3;7,422
RA-338;338;2023;3,0;9,1;6,7;8,38
RA-339;339;2023;3,0;8,9;7,1;8,255
RA-353;353;2023;3,0;9,9;8,4;8,67
RA-1153;1153;2023;3,0;10,0;7,2;8,63
RA-183;183;2023;3,0;9,7;7,7;8,795
RA-342;342;2023;3,0;8,6;6,6;8,505
RA-187;187;2023;3,0;9,9;6,9;8,255
RA-190;190;2023;3,0;9,5;5,7;7,958
RA-347;347;2023;3,0;9,5;7,3;7,792
RA-234;234;2023;3,0;8,0;5,6;5,595
RA-1154;1154;2023;3,0;9,3;5,1;7,67
RA-249;249;2023;3,0;8,2;4,9;6,545
RA-380;380;2023;3,0;6,4;4,5;6,542
RA-250;250;2023;3,0;9,3;8,3;8,625
RA-367;367;2023;3,0;8,7;5,9;7,792
RA-1155;1155;2023;3,0;9,2;8,0;8,292
RA-1156;1156;2023;3,0;9,2;5,3;7,792
RA-368;368;2023;3,0;7,7;6,7;7,34
RA-387;387;2023;3,0;6,8;3,0;7,008
RA-388;388;2023;3,0;7,4;4,2;7,835
RA-374;374;2023;3,0;8,3;5,4;7,918
RA-377;377;2023;3,0;7,6;4,8;7,628
RA-223;223;2023;3,0;4,5;3,8;7,172
RA-236;236;2023;3,0;7,5;4,5;7,298
RA-362;362;2023;3,0;7,5;5,1;7,088
RA-381;381;2023;3,0;8,4;3,9;6,84
RA-364;364;2023;3,0;9,0;5,8;7,505
RA-382;382;2023;3,0;9,4;5,2;7,172
RA-383;383;2023;3,0;8,8;6,5;7,5
RA-384;384;2023;3,0;9,1;7,3;7,335
RA-1157;1157;2023;3,0;8,8;5,7;7,002
RA-386;386;2023;3,0;7,0;3,3;6,632
RA-260;260;2023;3,0;9,9;6,1;7,418
RA-390;390;2023;3,0;8,8;4,8;7,005
RA-1158;1158;2023;3,0;8,6;4,3;7,34
RA-391;391;2023;3,0;7,5;3,5;7,585
RA-1159;1159;2023;3,0;6,6;3,1;7,132
RA-392;392;2023;3,0;9,5;4,6;7,17
RA-1160;1160;2023;3,0;8,7;2,7;7,258
RA-1161;1161;2023;3,0;8,1;6,3;8,63
RA-395;395;2023;3,0;8,6;6,0;7,918
RA-450;450;2023;3,0;8,4;5,4;7,918
RA-463;463;2023;3,0;5,4;4,0;7,795
RA-298;298;2023;3,0;8,6;5,5;7,752
RA-464;464;2023;3,0;7,7;3,0;7,38
RA-465;465;2023;3,0;9,4;8,5;8,17
RA-442;442;2023;3,0;7,6;5,8;8,127
RA-300;300;2023;3,0;7,5;4,5;6,588
RA-467;467;2023;3,0;9,2;5,2;7,542
RA-468;468;2023;3,0;6,0;3,4;6,715
RA-1162;1162;2023;3,0;8,5;6,0;7,752
RA-470;470;2023;3,0;9,2;4,9;7,71
RA-474;474;2023;3,0;7,8;3,3;6,758
RA-476;476;2023;3,0;7,0;4,1;7,505
RA-478;478;2023;3,0;7,3;4,4;7,298
RA-410;410;2023;3,0;5,8;4,9;6,042
RA-411;411;2023;3,0;9,0;6,6;7,542
RA-412;412;2023;3,0;8,9;6,2;7,585
RA-400;400;2023;3,0;9,0;4,1;7,375
RA-414;414;2023;3,0;9,5;6,5;7,585
RA-415;415;2023;3,0;8,2;3,7;7,832
RA-1163;1163;2023;3,0;9,3;7,2;7,75
RA-273;273;2023;3,0;7,4;5,0;7,628
RA-471;471;2023;3,0;9,0;5,0;8,125
RA-416;416;2023;3,0;9,8;7,6;8,338
RA-417;417;2023;3,0;9,7;7,8;8,212
RA-305;305;2023;3,0;8,9;5,2;7,75
RA-418;418;2023;3,0;10,0;8,1;8,045
RA-419;419;2023;3,0;9,5;7,6;7,875
RA-421;421;2023;3,0;9,9;7,3;8,17
RA-407;407;2023;3,0;8,6;7,3;7,5
RA-425;425;2023;3,0;9,9;7,5;8,378
RA-426;426;2023;3,0;7,6;5,0;7,542
RA-430;430;2023;3,0;9,3;6,4;7,75
RA-1164;1164;2023;3,0;7,5;4,8;7,545
RA-1165;1165;2023;3,0;9,1;7,3;7,292
RA-432;432;2023;3,0;9,0;5,2;8,042
RA-303;303;2023;3,0;7,3;5,1;7,05
RA-420;420;2023;3,0;9,3;5,3;7,96
RA-1166;1166;2023;3,0;9,6;4,8;7,918
RA-1167;1167;2023;3,0;7,6;3,8;7,962
RA-424;424;2023;3,0;9,9;6,4;7,792
RA-398;398;2023;3,0;8,1;6,5;7,792
RA-399;399;2023;3,0;8,2;4,7;8,165
RA-428;428;2023;3,0;9,5;7,2;8,042
RA-315;315;2023;3,0;6,8;6,3;7,838
RA-402;402;2023;3,0;7,3;4,2;6,88
RA-1168;1168;2023;3,0;8,8;3,5;7,045
RA-613;613;2023;3,0;9,4;4,8;7,212
RA-304;304;2023;3,0;8,8;5,7;7,835
RA-457;457;2023;3,0;8,6;8,1;8,045
RA-307;307;2023;3,0;6,5;6,3;7,46
RA-283;283;2023;3,0;9,5;6,8;7,502
RA-459;459;2023;3,0;9,3;8,3;7,88
RA-440;440;2023;3,0;8,2;6,2;7,835
RA-443;443;2023;3,0;7,5;7,6;8,125
RA-454;454;2023;3,0;7,5;2,6;5,54
RA-444;444;2023;3,0;7,9;4,7;6,458
RA-170;170;2023;3,0;8,9;7,2;7,672
RA-1169;1169;2023;3,0;9,5;6,3;8,002
RA-458;458;2023;3,0;6,9;3,8;6,248
RA-1170;1170;2023;3,0;7,7;5,9;6,578
RA-1171;1171;2023;3,0;8,4;8,7;8,88
RA-449;449;2023;3,0;7,2;7,0;6,842
RA-462;462;2023;3,0;8,1;2,7;6,582
RA-176;176;2023;4,0;9,5;8,0;9,002
RA-178;178;2023;4,0;8,7;5,9;8,42
RA-193;193;2023;4,0;9,4;6,5;8,17
RA-1172;1172;2023;4,0;7,8;6,7;8,46
RA-180;180;2023;4,0;9,4;8,0;8,92
RA-181;181;2023;4,0;8,3;6,8;8,252
RA-195;195;2023;4,0;9,2;6,0;8,79
RA-196;196;2023;4,0;9,0;6,2;8,212
RA-211;211;2023;4,0;9,4;7,1;8,71
RA-197;197;2023;4,0;9,8;7,2;8,46
RA-229;229;2023;4,0;9,8;7,8;8,42
RA-186;186;2023;4,0;9,7;6,9;8,46
RA-189;189;2023;4,0;9,4;6,5;8,378
