ano_base,n,ida_media,ida_mediana,ida_dp,ida_min,ida_max,delta_ida_media
2022,860,6.092906976744185,6.3,2.0462085477550573,0.0,9.9,
2023,937,6.663393810032018,6.8,1.5952769525126491,0.0,10.0,0.5704868332878323
2024,1055,6.351421800947867,6.75,2.131639231030403,0.0,10.0,-0.31197200908415024
